Raman Shift ; Dark Subtracted #1
-2.0000;15938.7200
-1.0000;15397.3300
0.0000;14426.8400
1.0000;12902.9600
2.0000;10797.3400
3.0000;8266.6490
4.0000;5844.5420
5.0000;3749.7920
6.0000;2251.8210
7.0000;1543.1070
8.0000;1040.0560
9.0000;800.7258
10.0000;929.8677
11.0000;920.3394
12.0000;587.6799
13.0000;257.9941
14.0000;19.4809
15.0000;-59.0678
16.0000;-10.2564
17.0000;40.1010
18.0000;34.6154
19.0000;35.1135
20.0000;36.7675
21.0000;36.7283
22.0000;37.9416
23.0000;39.8899
24.0000;43.0551
25.0000;45.3907
26.0000;44.7809
27.0000;38.1637
28.0000;29.5201
29.0000;23.9421
30.0000;25.3640
31.0000;31.7428
32.0000;38.9941
33.0000;44.8381
34.0000;48.6233
35.0000;49.1653
36.0000;44.6803
37.0000;37.3625
38.0000;31.6895
39.0000;33.9211
40.0000;40.1747
41.0000;44.5271
42.0000;40.9584
43.0000;32.4300
44.0000;23.3100
45.0000;16.6196
46.0000;13.0076
47.0000;11.9759
48.0000;11.9815
49.0000;14.6592
50.0000;18.4449
51.0000;20.8364
52.0000;22.8967
53.0000;26.0209
54.0000;32.1833
55.0000;39.7456
56.0000;46.8896
57.0000;53.0183
58.0000;56.5947
59.0000;58.5978
60.0000;59.0725
61.0000;58.5411
62.0000;62.0575
63.0000;76.3435
64.0000;98.2082
65.0000;121.4301
66.0000;138.7433
67.0000;149.3600
68.0000;163.0908
69.0000;192.5231
70.0000;232.1774
71.0000;275.1608
72.0000;320.3024
73.0000;359.6922
74.0000;395.2363
75.0000;437.1479
76.0000;474.1692
77.0000;511.5499
78.0000;564.9321
79.0000;623.8885
80.0000;680.0979
81.0000;735.9822
82.0000;780.3127
83.0000;822.2173
84.0000;882.4125
85.0000;950.7182
86.0000;1017.2100
87.0000;1086.6930
88.0000;1146.2420
89.0000;1202.5270
90.0000;1275.3900
91.0000;1353.8910
92.0000;1430.2330
93.0000;1515.4540
94.0000;1595.3000
95.0000;1673.0170
96.0000;1768.7670
97.0000;1869.9090
98.0000;1965.0290
99.0000;2069.8320
100.0000;2169.7090
101.0000;2252.8960
102.0000;2347.3340
103.0000;2437.0170
104.0000;2518.3460
105.0000;2612.5390
106.0000;2707.4830
107.0000;2795.1240
108.0000;2901.8260
109.0000;3006.5320
110.0000;3099.4490
111.0000;3199.1930
112.0000;3292.3190
113.0000;3368.2810
114.0000;3458.3400
115.0000;3550.0670
116.0000;3635.5440
117.0000;3733.0290
118.0000;3831.9850
119.0000;3920.9950
120.0000;4013.5410
121.0000;4097.5530
122.0000;4166.7280
123.0000;4242.0540
124.0000;4314.0700
125.0000;4374.5650
126.0000;4439.7960
127.0000;4501.5040
128.0000;4555.5760
129.0000;4619.3830
130.0000;4686.2580
131.0000;4745.7750
132.0000;4804.1540
133.0000;4852.9280
134.0000;4894.2180
135.0000;4949.2720
136.0000;5013.5310
137.0000;5072.5180
138.0000;5126.2830
139.0000;5167.0970
140.0000;5194.8940
141.0000;5232.7020
142.0000;5277.2140
143.0000;5314.5610
144.0000;5352.7070
145.0000;5382.3110
146.0000;5404.3270
147.0000;5432.8070
148.0000;5461.9140
149.0000;5487.2660
150.0000;5514.3570
151.0000;5539.6070
152.0000;5555.9160
153.0000;5568.0270
154.0000;5571.7220
155.0000;5569.5100
156.0000;5571.7530
157.0000;5577.9360
158.0000;5584.5020
159.0000;5589.1540
160.0000;5591.3410
161.0000;5596.2230
162.0000;5610.9620
163.0000;5634.0310
164.0000;5660.1240
165.0000;5683.2540
166.0000;5700.6140
167.0000;5715.2290
168.0000;5738.6320
169.0000;5764.8660
170.0000;5787.5130
171.0000;5804.4720
172.0000;5811.4070
173.0000;5812.1040
174.0000;5815.9830
175.0000;5820.8910
176.0000;5827.2870
177.0000;5840.6200
178.0000;5857.7920
179.0000;5874.2740
180.0000;5884.5950
181.0000;5887.5540
182.0000;5891.1210
183.0000;5908.5890
184.0000;5935.2030
185.0000;5958.8090
186.0000;5971.6010
187.0000;5970.9940
188.0000;5969.5720
189.0000;5984.7350
190.0000;6009.3110
191.0000;6033.8960
192.0000;6052.1330
193.0000;6059.4790
194.0000;6059.6750
195.0000;6057.5210
196.0000;6050.6750
197.0000;6045.9940
198.0000;6052.3510
199.0000;6066.7040
200.0000;6080.9730
201.0000;6088.1110
202.0000;6088.8230
203.0000;6087.6350
204.0000;6090.3120
205.0000;6093.8240
206.0000;6097.4780
207.0000;6099.9190
208.0000;6102.3640
209.0000;6107.7300
210.0000;6119.1520
211.0000;6133.5190
212.0000;6149.3420
213.0000;6164.8790
214.0000;6177.8090
215.0000;6191.6000
216.0000;6211.7890
217.0000;6230.1980
218.0000;6245.5300
219.0000;6258.5330
220.0000;6266.6310
221.0000;6277.5880
222.0000;6299.3250
223.0000;6322.4240
224.0000;6342.0760
225.0000;6356.2530
226.0000;6361.8310
227.0000;6364.7790
228.0000;6366.8440
229.0000;6368.6240
230.0000;6378.4730
231.0000;6401.8540
232.0000;6429.9440
233.0000;6453.5110
234.0000;6465.3520
235.0000;6470.4070
236.0000;6480.9050
237.0000;6503.6610
238.0000;6526.2320
239.0000;6543.4610
240.0000;6550.3660
241.0000;6551.4620
242.0000;6557.8570
243.0000;6572.9230
244.0000;6588.9230
245.0000;6603.7650
246.0000;6614.8260
247.0000;6621.3140
248.0000;6627.0580
249.0000;6630.7570
250.0000;6631.1830
251.0000;6630.4020
252.0000;6627.9780
253.0000;6626.5410
254.0000;6629.9800
255.0000;6638.7060
256.0000;6649.7640
257.0000;6662.4190
258.0000;6674.1560
259.0000;6680.6050
260.0000;6676.9750
261.0000;6663.9070
262.0000;6652.8830
263.0000;6655.9220
264.0000;6673.6130
265.0000;6699.9950
266.0000;6733.0690
267.0000;6766.9280
268.0000;6792.5580
269.0000;6805.2600
270.0000;6800.3980
271.0000;6790.6190
272.0000;6790.5830
273.0000;6794.5660
274.0000;6801.8670
275.0000;6810.8190
276.0000;6822.7710
277.0000;6839.0000
278.0000;6862.5870
279.0000;6887.6520
280.0000;6911.6920
281.0000;6935.7660
282.0000;6952.6210
283.0000;6965.4360
284.0000;6977.0900
285.0000;6982.7390
286.0000;6989.2730
287.0000;7002.1490
288.0000;7013.3000
289.0000;7020.3540
290.0000;7019.5990
291.0000;7017.0020
292.0000;7023.6730
293.0000;7045.0890
294.0000;7068.7430
295.0000;7083.8640
296.0000;7083.9570
297.0000;7078.3510
298.0000;7080.3230
299.0000;7092.3810
