Raman Shift ; Dark Subtracted #1
-2.0000;7649.5220
-1.0000;7309.3010
0.0000;6752.2690
1.0000;5949.6110
2.0000;4909.2460
3.0000;3724.4590
4.0000;2628.0940
5.0000;1681.6070
6.0000;1006.7800
7.0000;699.8397
8.0000;484.4078
9.0000;383.4950
10.0000;445.4674
11.0000;439.3544
12.0000;279.6030
13.0000;118.0150
14.0000;0.9092
15.0000;-36.8714
16.0000;-13.0899
17.0000;10.8261
18.0000;6.5374
19.0000;5.1098
20.0000;5.3253
21.0000;6.6809
22.0000;9.6106
23.0000;12.4313
24.0000;14.2008
25.0000;14.9978
26.0000;15.0118
27.0000;14.3365
28.0000;12.8328
29.0000;11.2213
30.0000;9.3509
31.0000;8.3767
32.0000;9.3820
33.0000;14.4024
34.0000;20.6653
35.0000;24.4366
36.0000;22.1934
37.0000;16.2646
38.0000;10.3335
39.0000;8.3371
40.0000;8.9895
41.0000;10.5180
42.0000;10.9885
43.0000;11.3994
44.0000;11.5996
45.0000;11.5205
46.0000;11.0581
47.0000;10.3058
48.0000;8.2580
49.0000;6.3501
50.0000;6.6415
51.0000;12.0181
52.0000;20.5970
53.0000;27.9376
54.0000;29.6808
55.0000;26.3808
56.0000;22.4796
57.0000;22.8854
58.0000;26.2544
59.0000;30.4583
60.0000;32.3834
61.0000;33.2484
62.0000;36.6178
63.0000;47.5192
64.0000;62.9760
65.0000;77.8718
66.0000;86.3763
67.0000;88.2731
68.0000;92.1178
69.0000;108.9869
70.0000;135.1141
71.0000;162.3988
72.0000;185.1953
73.0000;199.7703
74.0000;212.3930
75.0000;234.5003
76.0000;259.9182
77.0000;285.6618
78.0000;313.9567
79.0000;339.3335
80.0000;362.2848
81.0000;389.0424
82.0000;414.1529
83.0000;439.1805
84.0000;471.2842
85.0000;505.2478
86.0000;537.5896
87.0000;572.1880
88.0000;602.5346
89.0000;631.5564
90.0000;668.6284
91.0000;708.3273
92.0000;747.7959
93.0000;794.1827
94.0000;840.1544
