Raman Shift ; Dark Subtracted #1
-2.0000;8466.8490
-1.0000;8130.9900
0.0000;7546.4540
1.0000;6674.6200
2.0000;5519.6040
3.0000;4178.5090
4.0000;2923.3320
5.0000;1844.0220
6.0000;1081.4150
7.0000;737.2321
8.0000;495.8368
9.0000;381.9614
10.0000;454.6024
11.0000;456.6201
12.0000;293.2170
13.0000;129.7439
14.0000;13.4766
15.0000;-19.7556
16.0000;10.3112
17.0000;39.1427
18.0000;37.0296
19.0000;35.4540
20.0000;34.7959
21.0000;35.8643
22.0000;37.1589
23.0000;36.4483
24.0000;32.0604
25.0000;26.1537
26.0000;20.2558
27.0000;15.3068
28.0000;12.4923
29.0000;11.7277
30.0000;12.9700
31.0000;16.2713
32.0000;19.1976
33.0000;19.6758
34.0000;18.7692
35.0000;17.5943
36.0000;17.6439
37.0000;17.6640
38.0000;16.9413
39.0000;13.8298
40.0000;10.1863
41.0000;8.1277
42.0000;10.3712
43.0000;15.1054
44.0000;18.5760
45.0000;16.4634
46.0000;10.9988
47.0000;6.1576
48.0000;5.6341
49.0000;8.5274
50.0000;12.4597
51.0000;14.7926
52.0000;16.3425
53.0000;18.0205
54.0000;20.8304
55.0000;24.0226
56.0000;27.4456
57.0000;31.2585
58.0000;34.8318
59.0000;38.6606
60.0000;42.7984
61.0000;47.1291
62.0000;53.7869
63.0000;65.0740
64.0000;79.3407
65.0000;96.7779
66.0000;117.4318
67.0000;139.1232
68.0000;164.1317
69.0000;197.8233
70.0000;234.3769
71.0000;271.6359
72.0000;313.7863
73.0000;352.3908
74.0000;387.7424
75.0000;429.2751
76.0000;465.8272
77.0000;501.6827
78.0000;551.0858
79.0000;603.9891
80.0000;653.7301
81.0000;704.0072
82.0000;744.5709
83.0000;783.1387
84.0000;837.1053
85.0000;897.6950
86.0000;958.8768
87.0000;1028.7710
88.0000;1095.3930
89.0000;1158.8920
90.0000;1231.1590
91.0000;1300.5220
92.0000;1363.8260
93.0000;1436.2960
94.0000;1505.3640
95.0000;1573.8180
96.0000;1660.3980
97.0000;1754.2310
98.0000;1844.5690
99.0000;1944.8770
100.0000;2041.6530
101.0000;2122.4300
102.0000;2211.6800
103.0000;2293.7760
104.0000;2366.9260
105.0000;2451.9040
106.0000;2537.8100
107.0000;2620.8760
108.0000;2728.5130
109.0000;2841.3600
110.0000;2949.3640
111.0000;3069.6670
112.0000;3188.1260
113.0000;3287.5680
114.0000;3394.8960
115.0000;3492.9840
116.0000;3585.2340
117.0000;3707.0660
118.0000;3848.8240
119.0000;3985.2730
120.0000;4117.2310
121.0000;4225.7920
122.0000;4313.6770
123.0000;4414.8130
124.0000;4517.5970
125.0000;4621.7710
126.0000;4759.3120
127.0000;4919.7840
128.0000;5078.6480
129.0000;5235.5610
130.0000;5369.1020
131.0000;5483.1140
132.0000;5619.9660
133.0000;5765.6180
134.0000;5900.4850
135.0000;6048.2450
136.0000;6191.6250
137.0000;6304.7450
138.0000;6403.9710
139.0000;6472.4000
140.0000;6501.4730
141.0000;6538.8310
142.0000;6578.4560
143.0000;6592.1090
144.0000;6584.9650
145.0000;6551.0660
146.0000;6501.1660
147.0000;6451.7150
148.0000;6413.2170
149.0000;6389.0700
150.0000;6380.6350
151.0000;6394.5590
152.0000;6421.3430
153.0000;6442.7730
154.0000;6455.9950
155.0000;6466.8670
156.0000;6483.3550
157.0000;6502.1290
158.0000;6517.6140
159.0000;6526.9480
160.0000;6527.2630
161.0000;6524.6760
162.0000;6529.2630
163.0000;6540.5650
164.0000;6555.3170
165.0000;6571.7130
166.0000;6588.3960
167.0000;6602.9290
168.0000;6617.5360
169.0000;6628.1400
170.0000;6636.6810
171.0000;6647.5000
172.0000;6658.8150
173.0000;6670.5290
174.0000;6687.3010
175.0000;6706.1680
176.0000;6725.3380
177.0000;6749.5100
178.0000;6772.4710
179.0000;6792.5730
180.0000;6810.9870
181.0000;6823.3880
182.0000;6831.6540
183.0000;6843.4420
184.0000;6854.8920
185.0000;6867.3210
186.0000;6887.5620
187.0000;6910.2150
188.0000;6933.0840
189.0000;6956.7610
190.0000;6974.8540
191.0000;6989.2470
192.0000;7006.5210
193.0000;7018.9110
194.0000;7026.3220
195.0000;7029.7760
196.0000;7027.7080
197.0000;7028.2340
198.0000;7043.4180
199.0000;7067.1230
200.0000;7087.5210
201.0000;7095.2260
202.0000;7090.6730
203.0000;7083.6870
204.0000;7084.9830
205.0000;7090.6170
206.0000;7099.1420
207.0000;7110.3010
208.0000;7122.6760
209.0000;7133.5560
210.0000;7141.1670
211.0000;7144.7370
212.0000;7149.3010
213.0000;7162.3960
214.0000;7176.1370
215.0000;7187.1000
216.0000;7189.3000
217.0000;7186.6930
218.0000;7189.4660
219.0000;7208.3110
220.0000;7234.1960
221.0000;7259.3750
222.0000;7277.8000
223.0000;7290.1670
224.0000;7302.6210
225.0000;7323.0670
226.0000;7339.2990
227.0000;7349.7260
228.0000;7349.5870
229.0000;7343.7880
230.0000;7345.6760
231.0000;7362.4900
232.0000;7387.6590
233.0000;7415.7220
234.0000;7443.6530
235.0000;7467.1880
236.0000;7486.7920
237.0000;7501.9280
238.0000;7509.7690
239.0000;7519.5700
240.0000;7534.0610
241.0000;7544.9820
242.0000;7551.0670
243.0000;7550.0790
244.0000;7546.1020
245.0000;7548.1720
246.0000;7558.7040
247.0000;7571.8080
248.0000;7583.0020
249.0000;7589.8730
250.0000;7595.8610
251.0000;7607.5140
252.0000;7623.8900
253.0000;7639.0900
254.0000;7651.1340
255.0000;7656.8530
256.0000;7658.2920
257.0000;7659.8480
258.0000;7660.5220
259.0000;7663.7260
260.0000;7675.1750
261.0000;7692.6580
262.0000;7712.0260
263.0000;7729.3380
264.0000;7741.6800
265.0000;7751.9630
266.0000;7766.1980
267.0000;7779.6540
268.0000;7792.4820
269.0000;7808.3780
270.0000;7822.6360
271.0000;7835.7650
272.0000;7853.2340
273.0000;7867.5100
274.0000;7876.6470
275.0000;7879.9340
276.0000;7876.6570
277.0000;7875.7000
278.0000;7884.4790
279.0000;7899.5540
280.0000;7919.5140
281.0000;7944.6730
282.0000;7970.1310
283.0000;7993.9680
284.0000;8016.1230
285.0000;8030.9500
286.0000;8043.5680
287.0000;8057.1810
288.0000;8066.0220
289.0000;8074.5920
290.0000;8084.5550
291.0000;8092.9170
292.0000;8104.4440
293.0000;8120.5330
294.0000;8134.2710
295.0000;8142.7520
296.0000;8142.6370
297.0000;8139.0570
298.0000;8141.4430
299.0000;8151.6150
300.0000;8164.8570
301.0000;8179.4330
302.0000;8192.4030
303.0000;8203.3500
304.0000;8214.4410
305.0000;8222.8100
306.0000;8227.8250
307.0000;8233.6880
308.0000;8237.4790
309.0000;8236.6930
310.0000;8229.3950
311.0000;8217.2090
312.0000;8209.0580
313.0000;8216.7630
314.0000;8236.0850
315.0000;8250.1540
316.0000;8238.8960
317.0000;8214.7980
318.0000;8201.2790
319.0000;8219.6710
320.0000;8260.2980
321.0000;8306.4880
322.0000;8344.9230
323.0000;8376.3760
324.0000;8408.6900
325.0000;8450.6900
326.0000;8483.1100
327.0000;8503.3550
328.0000;8506.6670
329.0000;8496.9540
330.0000;8496.0790
331.0000;8514.9520
332.0000;8541.4290
333.0000;8566.8310
334.0000;8587.1070
335.0000;8602.9400
336.0000;8620.7500
337.0000;8637.7780
338.0000;8650.9000
339.0000;8664.9930
340.0000;8677.6690
341.0000;8684.6690
342.0000;8688.4360
343.0000;8686.5650
344.0000;8682.9520
345.0000;8685.3780
346.0000;8692.1880
347.0000;8697.2380
348.0000;8694.6460
349.0000;8686.1820
350.0000;8680.3850
351.0000;8686.0100
352.0000;8699.4220
353.0000;8710.7710
354.0000;8713.4920
355.0000;8708.4350
356.0000;8700.2840
357.0000;8691.8220
358.0000;8683.7180
359.0000;8678.1070
360.0000;8676.6010
361.0000;8679.0500
362.0000;8681.8180
363.0000;8682.9540
364.0000;8683.3150
365.0000;8682.2580
366.0000;8679.3830
367.0000;8675.7550
368.0000;8672.5270
369.0000;8670.0880
370.0000;8670.2140
371.0000;8673.4210
372.0000;8680.4110
373.0000;8690.2700
374.0000;8703.5690
375.0000;8717.6860
376.0000;8729.6780
377.0000;8734.8800
378.0000;8733.2590
379.0000;8735.1930
380.0000;8754.9990
381.0000;8784.4660
382.0000;8811.9960
383.0000;8831.5590
384.0000;8837.7920
385.0000;8836.5000
386.0000;8833.8240
387.0000;8826.7280
388.0000;8822.8720
389.0000;8828.0210
390.0000;8839.1000
391.0000;8851.9420
392.0000;8865.2570
393.0000;8876.8430
394.0000;8886.8530
395.0000;8892.6980
396.0000;8896.9910
397.0000;8907.0880
398.0000;8924.9110
399.0000;8940.9340
400.0000;8948.7270
401.0000;8945.4750
402.0000;8940.1840
403.0000;8945.9670
404.0000;8961.3160
405.0000;8975.6850
406.0000;8980.3770
407.0000;8976.2800
408.0000;8974.1000
409.0000;8986.7500
410.0000;9007.0170
411.0000;9027.0250
412.0000;9039.3850
413.0000;9044.6590
414.0000;9048.9780
415.0000;9058.5040
416.0000;9067.4140
417.0000;9075.7440
418.0000;9083.1010
419.0000;9088.5770
420.0000;9094.6520
421.0000;9101.3640
422.0000;9107.9910
423.0000;9116.7350
424.0000;9126.7840
425.0000;9136.2050
426.0000;9145.3930
427.0000;9152.2680
428.0000;9156.1060
429.0000;9159.0610
430.0000;9159.5090
431.0000;9159.6000
432.0000;9163.0770
433.0000;9168.4610
434.0000;9174.1400
435.0000;9178.9030
436.0000;9182.7440
437.0000;9187.2020
438.0000;9194.5660
439.0000;9201.8460
440.0000;9209.1130
441.0000;9216.0590
442.0000;9221.1190
443.0000;9225.4500
444.0000;9228.7430
445.0000;9232.4180
446.0000;9241.4750
447.0000;9256.9480
448.0000;9271.9630
449.0000;9282.5250
450.0000;9285.1970
451.0000;9286.8500
452.0000;9298.5520
453.0000;9317.1310
454.0000;9333.7590
455.0000;9343.3620
456.0000;9344.4730
457.0000;9345.6080
458.0000;9357.9690
459.0000;9373.8460
460.0000;9387.5080
461.0000;9397.3410
462.0000;9401.0270
463.0000;9402.6080
464.0000;9403.3420
465.0000;9404.0740
466.0000;9411.0290
467.0000;9427.3300
468.0000;9444.8800
469.0000;9457.0920
470.0000;9460.8340
471.0000;9459.4970
472.0000;9460.7810
473.0000;9463.8280
474.0000;9466.3260
475.0000;9467.8310
476.0000;9468.1880
477.0000;9469.4240
478.0000;9471.9120
479.0000;9476.9780
480.0000;9487.2000
481.0000;9508.4210
482.0000;9531.8530
483.0000;9548.7200
484.0000;9551.1710
485.0000;9545.1980
486.0000;9545.2360
487.0000;9557.7820
488.0000;9575.5400
489.0000;9596.0630
490.0000;9616.9150
491.0000;9632.3140
492.0000;9639.5660
493.0000;9635.1930
494.0000;9627.8990
495.0000;9629.1030
496.0000;9637.7310
497.0000;9651.5770
498.0000;9670.0250
499.0000;9690.7150
500.0000;9711.0000
501.0000;9733.7100
502.0000;9749.8370
503.0000;9759.4160
504.0000;9762.0300
505.0000;9757.1120
506.0000;9755.0380
507.0000;9761.2510
508.0000;9767.6790
509.0000;9768.3060
510.0000;9761.3540
511.0000;9752.5610
512.0000;9748.6850
513.0000;9750.4090
514.0000;9752.5690
515.0000;9749.8930
516.0000;9743.5890
517.0000;9736.0100
518.0000;9728.4970
519.0000;9722.5480
520.0000;9718.6260
521.0000;9716.1920
522.0000;9716.8630
523.0000;9718.3210
524.0000;9718.8900
525.0000;9720.4840
526.0000;9723.1900
527.0000;9726.7200
528.0000;9732.3220
529.0000;9741.9220
530.0000;9754.2530
531.0000;9766.8370
532.0000;9779.3930
533.0000;9788.8420
534.0000;9795.0630
535.0000;9799.9620
536.0000;9801.0760
537.0000;9801.7000
538.0000;9803.5930
539.0000;9807.7240
540.0000;9818.3320
541.0000;9838.9220
542.0000;9863.4140
543.0000;9884.8820
544.0000;9899.4810
545.0000;9908.3420
546.0000;9920.2240
547.0000;9932.6520
548.0000;9940.6990
549.0000;9943.2870
550.0000;9939.2380
551.0000;9937.3890
552.0000;9949.4580
553.0000;9970.2350
554.0000;9988.4000
555.0000;9999.4020
556.0000;10000.8200
557.0000;9996.8570
558.0000;9989.5010
559.0000;9979.1900
560.0000;9973.2540
561.0000;9975.2070
562.0000;9979.0230
563.0000;9976.0210
564.0000;9965.5500
565.0000;9955.6110
566.0000;9953.2830
567.0000;9959.4590
568.0000;9968.8850
569.0000;9976.4110
570.0000;9983.0840
571.0000;9989.2140
572.0000;9995.6010
573.0000;10000.9900
574.0000;10008.7800
575.0000;10022.5800
576.0000;10033.9600
577.0000;10038.8000
578.0000;10033.5800
579.0000;10023.1300
580.0000;10016.3700
581.0000;10014.0500
582.0000;10013.0900
583.0000;10009.6400
584.0000;10005.9000
585.0000;10004.9000
586.0000;10008.0100
587.0000;10014.8800
588.0000;10023.2000
589.0000;10032.5300
590.0000;10038.9000
591.0000;10038.5200
592.0000;10028.4500
593.0000;10014.4500
594.0000;10004.3100
595.0000;10001.6200
596.0000;10000.8700
597.0000;9993.2940
598.0000;9981.9910
599.0000;9976.9360
600.0000;9985.6190
601.0000;10005.1300
602.0000;10025.1500
603.0000;10035.8600
604.0000;10039.3700
605.0000;10042.5300
606.0000;10048.6800
607.0000;10053.5000
608.0000;10056.4800
609.0000;10056.4900
610.0000;10058.9900
611.0000;10070.7900
