Raman Shift ; Dark Subtracted #1
-2.0000;9101.9300
-1.0000;8480.6560
0.0000;7612.2280
1.0000;6502.5740
2.0000;5198.7340
3.0000;3851.4370
4.0000;2693.3530
5.0000;1705.4720
6.0000;1018.3380
7.0000;745.1884
8.0000;555.4398
9.0000;460.2234
10.0000;522.2108
11.0000;504.6283
12.0000;317.3641
13.0000;126.0292
14.0000;-8.5942
15.0000;-42.3126
16.0000;-2.3020
17.0000;34.6542
18.0000;32.9279
19.0000;29.9576
20.0000;28.5072
21.0000;30.7805
22.0000;34.0368
23.0000;35.5202
24.0000;32.9907
25.0000;28.9618
26.0000;25.7963
27.0000;25.7983
28.0000;27.5068
29.0000;29.0638
30.0000;29.2347
31.0000;28.4341
32.0000;26.6563
33.0000;23.6314
34.0000;20.1021
35.0000;17.1080
36.0000;15.0874
37.0000;14.5564
38.0000;14.7880
39.0000;15.7803
40.0000;16.9306
41.0000;16.3344
42.0000;10.5087
43.0000;2.7869
44.0000;-2.2334
45.0000;0.1958
46.0000;8.0857
47.0000;15.7571
48.0000;17.9168
49.0000;15.6922
50.0000;11.7768
51.0000;8.4214
52.0000;5.4751
53.0000;4.0133
54.0000;5.4415
55.0000;9.3424
56.0000;12.9427
57.0000;12.2711
58.0000;8.9007
59.0000;7.1313
60.0000;12.3149
61.0000;22.4712
62.0000;31.7465
63.0000;34.2631
64.0000;30.1354
65.0000;25.2908
66.0000;26.0789
67.0000;31.3114
68.0000;37.7964
69.0000;42.4912
70.0000;45.3311
71.0000;48.3918
72.0000;54.3371
73.0000;61.9754
74.0000;69.8475
75.0000;77.6218
76.0000;83.5776
77.0000;89.5797
78.0000;99.1837
79.0000;110.4572
80.0000;121.0631
81.0000;130.8664
82.0000;137.6898
83.0000;143.0167
84.0000;149.8938
85.0000;157.0259
86.0000;165.2549
87.0000;177.9526
88.0000;193.5059
89.0000;209.5595
90.0000;225.2425
91.0000;238.0059
92.0000;248.1863
93.0000;259.1036
94.0000;268.5503
95.0000;278.9479
96.0000;296.6774
97.0000;320.0765
98.0000;342.6031
99.0000;362.1402
100.0000;374.6772
101.0000;381.7285
102.0000;391.1852
103.0000;401.2740
104.0000;411.4476
105.0000;425.4510
106.0000;441.9865
107.0000;458.1854
108.0000;476.2611
109.0000;492.3385
110.0000;504.1134
111.0000;513.4036
112.0000;517.6885
113.0000;518.8820
114.0000;523.8646
115.0000;532.6125
116.0000;542.9999
117.0000;555.7150
118.0000;569.7087
119.0000;580.9911
120.0000;586.6516
121.0000;584.4659
122.0000;580.1969
123.0000;583.7329
124.0000;596.2980
125.0000;611.2407
126.0000;622.6723
127.0000;628.3976
128.0000;630.1409
129.0000;631.6193
130.0000;632.3376
131.0000;632.5381
132.0000;635.0134
133.0000;639.9329
134.0000;645.5773
135.0000;650.7545
136.0000;654.7104
137.0000;657.4904
138.0000;660.0122
139.0000;661.8510
140.0000;663.1362
141.0000;665.7032
142.0000;669.5423
143.0000;672.7981
144.0000;674.8646
145.0000;674.9192
146.0000;674.2602
147.0000;674.6900
148.0000;676.3346
149.0000;679.0921
150.0000;683.2219
151.0000;688.6677
152.0000;693.8403
153.0000;698.7088
154.0000;702.3462
155.0000;703.6007
156.0000;702.5695
157.0000;698.7599
158.0000;694.6100
159.0000;693.5360
160.0000;696.2576
161.0000;701.0081
162.0000;706.8685
163.0000;712.8422
164.0000;717.3092
165.0000;718.2729
166.0000;714.8247
167.0000;710.4344
168.0000;710.0626
169.0000;713.6876
170.0000;716.5037
171.0000;712.1061
172.0000;700.9153
173.0000;692.3848
174.0000;695.7307
175.0000;711.6185
176.0000;727.9444
177.0000;734.0589
178.0000;728.6199
179.0000;719.4111
180.0000;715.6613
181.0000;716.4393
182.0000;718.3344
183.0000;718.1153
184.0000;716.5396
185.0000;715.6992
186.0000;716.0715
187.0000;718.3575
188.0000;723.7527
189.0000;735.2120
190.0000;749.4801
191.0000;760.6040
192.0000;761.9492
193.0000;753.6448
194.0000;743.6267
195.0000;741.3376
196.0000;744.9371
197.0000;750.6409
198.0000;754.5775
199.0000;757.7813
200.0000;760.7570
201.0000;765.8542
202.0000;770.3057
203.0000;771.0695
204.0000;765.5171
205.0000;754.8204
206.0000;744.8487
207.0000;740.5852
208.0000;741.3517
209.0000;743.8730
210.0000;743.2576
211.0000;742.9441
212.0000;744.3205
213.0000;747.8810
214.0000;753.5584
215.0000;761.2000
216.0000;772.8331
217.0000;783.6317
218.0000;789.7313
219.0000;788.5657
220.0000;781.0990
221.0000;774.3678
222.0000;774.4628
223.0000;777.3564
224.0000;779.5667
225.0000;777.8224
226.0000;775.1826
227.0000;773.7011
228.0000;774.5546
229.0000;777.7906
230.0000;783.1633
231.0000;790.7120
232.0000;798.7401
233.0000;805.1987
234.0000;809.1454
235.0000;809.1938
236.0000;806.6439
237.0000;801.3168
238.0000;794.5469
239.0000;789.1229
240.0000;786.3403
241.0000;787.1408
242.0000;791.3009
243.0000;799.6516
244.0000;809.0676
245.0000;815.6735
246.0000;817.3166
247.0000;815.7537
248.0000;814.7184
249.0000;814.4740
250.0000;813.2031
251.0000;809.5145
252.0000;803.4573
253.0000;798.9573
254.0000;800.2698
255.0000;808.1785
256.0000;816.3668
257.0000;817.4713
258.0000;811.1209
259.0000;804.0002
260.0000;802.8134
261.0000;807.2566
262.0000;813.8082
263.0000;819.0834
264.0000;822.6906
265.0000;824.7429
266.0000;825.7390
267.0000;824.8305
268.0000;823.3821
269.0000;822.8209
270.0000;823.0640
271.0000;824.5259
272.0000;828.1970
273.0000;832.9727
274.0000;836.8425
275.0000;838.4934
276.0000;837.6806
277.0000;836.0000
278.0000;834.0529
279.0000;832.6514
280.0000;833.8303
281.0000;840.4097
282.0000;848.9136
283.0000;854.8217
284.0000;854.4698
285.0000;850.1799
286.0000;846.6382
287.0000;847.2927
288.0000;849.1125
289.0000;849.7487
290.0000;847.3326
291.0000;844.7206
292.0000;844.4423
293.0000;848.0176
294.0000;852.5916
295.0000;855.0184
296.0000;853.8212
297.0000;851.2001
298.0000;849.2675
299.0000;848.5542
300.0000;849.9749
301.0000;855.2781
302.0000;864.2368
303.0000;872.9837
304.0000;878.7761
305.0000;879.7410
306.0000;876.3611
307.0000;869.0611
308.0000;858.1917
309.0000;850.5400
310.0000;852.4198
311.0000;863.3367
312.0000;875.1956
313.0000;879.1721
314.0000;876.8218
315.0000;874.2584
316.0000;877.8899
317.0000;884.4071
318.0000;890.6973
319.0000;894.6517
320.0000;895.9994
321.0000;896.6851
322.0000;899.4566
323.0000;901.4205
324.0000;901.7239
325.0000;899.3264
326.0000;895.5613
327.0000;892.7322
328.0000;891.5144
329.0000;893.3406
330.0000;899.4854
331.0000;912.0215
332.0000;924.3133
333.0000;927.8246
334.0000;918.1707
335.0000;904.3279
336.0000;898.0394
337.0000;903.8896
338.0000;913.3386
339.0000;917.4047
340.0000;914.2144
341.0000;910.7746
342.0000;913.4482
343.0000;922.6130
344.0000;932.8903
345.0000;941.9609
346.0000;947.8085
347.0000;948.7410
348.0000;943.7142
349.0000;932.8688
350.0000;924.0895
351.0000;925.1764
352.0000;933.7078
353.0000;941.3350
354.0000;940.4362
355.0000;934.4830
356.0000;928.9196
357.0000;928.2881
358.0000;930.0015
359.0000;931.3033
360.0000;929.4346
361.0000;927.3268
362.0000;926.9985
363.0000;929.7002
364.0000;934.2734
365.0000;939.3088
366.0000;943.4908
367.0000;947.5431
368.0000;952.8647
369.0000;959.5293
370.0000;964.1999
371.0000;964.5353
372.0000;959.2404
373.0000;952.8184
374.0000;950.2335
375.0000;952.3453
376.0000;956.8228
377.0000;961.2737
378.0000;965.7413
379.0000;969.2574
380.0000;971.6074
381.0000;971.9254
382.0000;971.6087
383.0000;972.1792
384.0000;973.0037
385.0000;974.6000
386.0000;978.5871
387.0000;982.5224
388.0000;984.3672
389.0000;981.3923
390.0000;976.6240
391.0000;975.1956
392.0000;980.8842
393.0000;988.6543
394.0000;993.5301
395.0000;992.1678
396.0000;988.5319
397.0000;987.8386
398.0000;991.6395
399.0000;996.0484
400.0000;997.9648
401.0000;996.6356
402.0000;993.7534
403.0000;990.2312
404.0000;986.8265
405.0000;985.9486
406.0000;989.8351
407.0000;997.9866
408.0000;1007.2320
409.0000;1014.8040
410.0000;1019.2930
411.0000;1021.3730
412.0000;1022.4540
413.0000;1020.7630
414.0000;1018.4240
415.0000;1016.3960
416.0000;1015.4720
417.0000;1017.5740
418.0000;1023.8890
419.0000;1032.5750
420.0000;1040.6810
421.0000;1046.3090
422.0000;1049.7180
423.0000;1052.8380
424.0000;1055.2920
425.0000;1055.4680
426.0000;1053.7810
427.0000;1049.8390
428.0000;1045.0050
429.0000;1040.3230
430.0000;1036.8190
431.0000;1034.9830
432.0000;1034.9020
433.0000;1036.8920
434.0000;1038.3860
435.0000;1035.6830
436.0000;1031.2630
437.0000;1028.7920
438.0000;1031.3070
439.0000;1036.8850
440.0000;1042.7400
441.0000;1046.7520
442.0000;1049.0170
443.0000;1050.0810
444.0000;1049.6880
445.0000;1048.7770
446.0000;1050.2950
447.0000;1055.2010
448.0000;1060.1110
449.0000;1062.2080
450.0000;1060.3330
451.0000;1058.3630
452.0000;1061.6720
453.0000;1069.1350
454.0000;1075.0860
455.0000;1074.2980
456.0000;1067.8890
457.0000;1062.5880
458.0000;1065.2080
459.0000;1072.7130
460.0000;1079.9600
461.0000;1083.4600
462.0000;1084.2710
463.0000;1084.8720
464.0000;1087.5160
465.0000;1088.9830
466.0000;1087.3250
467.0000;1080.6890
468.0000;1074.9390
469.0000;1076.7810
470.0000;1088.7680
471.0000;1102.8450
472.0000;1110.2550
473.0000;1108.9750
474.0000;1105.3470
475.0000;1108.1090
476.0000;1114.4160
477.0000;1118.1640
478.0000;1112.5310
479.0000;1101.6170
480.0000;1094.8000
481.0000;1101.0820
482.0000;1114.9190
483.0000;1127.3980
484.0000;1132.9400
485.0000;1132.6800
486.0000;1129.1830
487.0000;1122.7900
488.0000;1115.4580
489.0000;1112.0040
490.0000;1114.5650
491.0000;1118.6310
492.0000;1118.4020
493.0000;1113.6730
494.0000;1108.7360
495.0000;1106.9640
496.0000;1108.6340
497.0000;1111.9110
498.0000;1115.4170
499.0000;1118.7750
500.0000;1120.6000
501.0000;1118.9260
502.0000;1115.5700
503.0000;1114.3290
504.0000;1117.7950
505.0000;1124.1420
506.0000;1131.5010
507.0000;1139.1240
508.0000;1144.8640
509.0000;1146.9000
510.0000;1143.9590
511.0000;1139.4020
512.0000;1138.1060
513.0000;1140.4650
514.0000;1144.7550
515.0000;1149.2950
516.0000;1154.1540
517.0000;1159.8810
518.0000;1168.2540
519.0000;1175.9420
520.0000;1180.6190
521.0000;1180.6230
522.0000;1176.6510
523.0000;1173.8360
524.0000;1175.9620
525.0000;1178.8880
526.0000;1179.3500
527.0000;1175.9050
528.0000;1171.4630
529.0000;1168.5370
530.0000;1168.1990
531.0000;1169.9270
532.0000;1172.8620
533.0000;1177.1660
534.0000;1182.1350
535.0000;1187.2380
536.0000;1191.2770
537.0000;1193.8000
538.0000;1194.8690
539.0000;1194.0350
540.0000;1193.7850
541.0000;1195.6110
542.0000;1198.4740
543.0000;1201.9220
544.0000;1205.7460
545.0000;1209.1580
546.0000;1211.4850
547.0000;1211.9690
548.0000;1213.4780
549.0000;1221.7640
550.0000;1233.9420
551.0000;1242.1200
552.0000;1237.8560
553.0000;1224.0390
554.0000;1214.0000
555.0000;1220.4440
556.0000;1235.1460
557.0000;1245.1750
558.0000;1241.6280
559.0000;1232.7920
560.0000;1229.3400
561.0000;1235.3920
562.0000;1245.1570
563.0000;1253.4410
564.0000;1258.7550
565.0000;1260.1220
566.0000;1255.3770
567.0000;1245.2910
568.0000;1239.5520
569.0000;1248.3180
570.0000;1267.2750
571.0000;1283.3310
572.0000;1288.1210
573.0000;1283.8030
574.0000;1277.3490
575.0000;1272.2140
576.0000;1267.5080
577.0000;1265.0090
578.0000;1266.2030
579.0000;1268.7510
580.0000;1268.9600
581.0000;1266.7230
582.0000;1263.6990
583.0000;1260.9560
584.0000;1258.9550
585.0000;1258.3720
586.0000;1258.7770
587.0000;1261.1090
588.0000;1265.3130
589.0000;1272.6870
590.0000;1279.0560
591.0000;1279.2510
592.0000;1269.6220
593.0000;1257.3380
594.0000;1250.2420
595.0000;1251.6590
596.0000;1257.4900
597.0000;1261.9600
598.0000;1265.9090
599.0000;1270.6490
600.0000;1277.9040
601.0000;1285.4630
602.0000;1292.6290
603.0000;1299.0780
604.0000;1303.2690
605.0000;1308.0500
606.0000;1314.8320
607.0000;1320.1600
608.0000;1322.8820
609.0000;1321.8690
610.0000;1319.2290
611.0000;1318.9830
612.0000;1321.2290
613.0000;1324.7030
614.0000;1328.6930
615.0000;1333.0200
616.0000;1337.8500
617.0000;1345.4060
618.0000;1352.0850
619.0000;1356.0530
620.0000;1356.5620
621.0000;1353.3180
622.0000;1348.6940
623.0000;1343.4320
624.0000;1339.6160
625.0000;1339.8420
626.0000;1345.0530
627.0000;1350.7720
628.0000;1351.4850
629.0000;1348.6150
630.0000;1347.8760
631.0000;1356.1260
632.0000;1367.7770
633.0000;1375.4040
634.0000;1373.1750
635.0000;1366.4610
636.0000;1364.2010
637.0000;1369.7950
638.0000;1377.7950
639.0000;1383.5330
640.0000;1385.5780
641.0000;1385.0140
642.0000;1382.9470
643.0000;1379.2460
644.0000;1376.6280
645.0000;1377.5400
646.0000;1381.1980
647.0000;1385.4710
648.0000;1389.1160
649.0000;1391.8800
650.0000;1393.5680
651.0000;1393.6810
652.0000;1393.2540
653.0000;1395.3940
654.0000;1399.5640
655.0000;1401.7090
656.0000;1397.5940
657.0000;1389.0010
658.0000;1382.6000
659.0000;1384.2550
660.0000;1391.0850
661.0000;1397.3030
662.0000;1400.0630
663.0000;1400.2930
664.0000;1399.1530
665.0000;1396.5780
666.0000;1393.2550
667.0000;1389.8300
668.0000;1387.4650
669.0000;1388.2260
670.0000;1395.4340
671.0000;1406.3600
672.0000;1413.7810
673.0000;1411.2020
674.0000;1403.0430
675.0000;1397.9630
676.0000;1400.9930
677.0000;1405.7560
678.0000;1405.4620
679.0000;1398.9800
680.0000;1393.0800
681.0000;1393.0960
682.0000;1399.3680
683.0000;1407.7400
684.0000;1416.6570
685.0000;1423.0770
686.0000;1423.2000
687.0000;1412.2620
688.0000;1398.0350
689.0000;1393.2240
690.0000;1404.2680
691.0000;1418.2030
