Raman Shift ; Dark Subtracted #1
-2.0000;3793.8230
-1.0000;3577.0010
0.0000;3246.7850
1.0000;2805.4190
2.0000;2269.3020
3.0000;1695.3600
4.0000;1187.6850
5.0000;753.7812
6.0000;450.9464
7.0000;324.6340
8.0000;234.5023
9.0000;186.5501
10.0000;209.6539
11.0000;201.9553
12.0000;125.9133
13.0000;50.9164
14.0000;-0.9605
15.0000;-12.6370
16.0000;4.7150
17.0000;18.9315
18.0000;14.3952
19.0000;8.5063
20.0000;5.0604
21.0000;6.4897
22.0000;11.0674
23.0000;16.3636
24.0000;21.5012
25.0000;25.1714
26.0000;26.1751
27.0000;22.9713
28.0000;16.8886
29.0000;11.4249
30.0000;9.0711
31.0000;9.1035
32.0000;10.2058
33.0000;10.8398
34.0000;12.2901
35.0000;14.2828
36.0000;17.3018
37.0000;20.0019
38.0000;21.3923
39.0000;20.6180
40.0000;17.6914
41.0000;14.1949
42.0000;11.7815
43.0000;9.9349
44.0000;8.0018
45.0000;3.6684
46.0000;-0.3037
47.0000;-1.5415
48.0000;3.0025
49.0000;11.4431
50.0000;18.4078
51.0000;18.3202
52.0000;12.6847
53.0000;6.5716
54.0000;5.1612
55.0000;7.2599
56.0000;10.4101
57.0000;11.1856
58.0000;11.1423
59.0000;12.8648
60.0000;18.2382
61.0000;26.8848
62.0000;37.7741
63.0000;51.8641
64.0000;65.7536
65.0000;77.5639
66.0000;85.6430
67.0000;88.4702
68.0000;92.3453
69.0000;104.0768
70.0000;122.1455
71.0000;145.9593
72.0000;178.0156
73.0000;213.7407
74.0000;248.5584
75.0000;283.8815
76.0000;310.3713
77.0000;332.6035
78.0000;362.3892
79.0000;392.2939
80.0000;419.3263
81.0000;447.8065
82.0000;471.8683
83.0000;496.4175
84.0000;532.3912
85.0000;574.4039
86.0000;616.7888
87.0000;662.0270
88.0000;702.1561
89.0000;740.4310
90.0000;788.0978
91.0000;837.8357
92.0000;884.8354
93.0000;936.6337
94.0000;984.1620
95.0000;1029.4810
96.0000;1086.9530
97.0000;1148.7760
98.0000;1204.1320
99.0000;1258.9590
100.0000;1303.5770
101.0000;1335.8080
102.0000;1375.0350
