Raman Shift ; Dark Subtracted #1
-2.0000;3456.6910
-1.0000;3159.6070
0.0000;2778.2230
1.0000;2322.8930
2.0000;1811.8650
3.0000;1311.4690
4.0000;903.3582
5.0000;559.2899
6.0000;326.0491
7.0000;245.3258
8.0000;188.6507
9.0000;155.3979
10.0000;174.4105
11.0000;168.1508
12.0000;107.4218
13.0000;46.2764
14.0000;3.9411
15.0000;-5.1664
16.0000;8.9615
17.0000;20.2455
18.0000;16.3827
19.0000;10.3048
20.0000;3.9731
21.0000;-1.9328
22.0000;-5.8000
23.0000;-6.8241
24.0000;-3.8599
25.0000;1.3879
26.0000;5.4639
27.0000;5.4561
28.0000;2.7560
29.0000;-0.9064
30.0000;-4.4503
31.0000;-7.7725
32.0000;-10.1740
33.0000;-11.9003
34.0000;-11.6569
35.0000;-9.7398
36.0000;-6.6805
37.0000;-2.3734
38.0000;2.4580
39.0000;8.4604
40.0000;13.1183
41.0000;14.8258
42.0000;11.8547
43.0000;5.1836
44.0000;-0.6665
45.0000;-0.8710
46.0000;2.6499
47.0000;6.1529
48.0000;5.3164
49.0000;2.1721
50.0000;-0.5765
51.0000;-0.2877
52.0000;2.2491
53.0000;5.1687
54.0000;6.7134
55.0000;7.1076
56.0000;7.0213
57.0000;6.5001
58.0000;5.9362
59.0000;6.9401
60.0000;10.1590
61.0000;16.0547
62.0000;25.0031
63.0000;38.5146
64.0000;53.8943
65.0000;69.0072
66.0000;82.5888
67.0000;92.1630
68.0000;101.2643
69.0000;115.0823
70.0000;130.8433
71.0000;149.2966
72.0000;174.8935
73.0000;203.2227
74.0000;230.7334
75.0000;258.9461
76.0000;280.5828
77.0000;300.0367
78.0000;327.0672
79.0000;355.7859
80.0000;383.9349
81.0000;415.9807
82.0000;445.9684
83.0000;475.4631
84.0000;511.9578
85.0000;549.2647
86.0000;583.6207
87.0000;619.7555
88.0000;650.5042
89.0000;679.5240
90.0000;717.9948
91.0000;760.2906
92.0000;802.4932
93.0000;850.2930
94.0000;896.0861
95.0000;942.1637
96.0000;1001.2740
97.0000;1065.8160
98.0000;1123.0680
99.0000;1175.9780
100.0000;1214.0590
101.0000;1239.2180
102.0000;1274.0610
103.0000;1313.0730
104.0000;1351.5170
105.0000;1396.6770
106.0000;1443.2140
107.0000;1486.0810
108.0000;1535.2740
109.0000;1580.4030
110.0000;1617.6890
111.0000;1656.3800
112.0000;1690.5930
113.0000;1717.4360
114.0000;1752.7840
115.0000;1792.5200
116.0000;1828.1420
117.0000;1860.5680
118.0000;1884.4960
119.0000;1903.3870
120.0000;1931.7840
121.0000;1967.8270
122.0000;2002.2030
123.0000;2033.3610
124.0000;2056.3090
125.0000;2072.6330
126.0000;2092.7370
127.0000;2114.4350
128.0000;2134.5940
129.0000;2158.2620
130.0000;2183.0210
131.0000;2204.2420
132.0000;2222.4970
133.0000;2234.4570
