Raman Shift ; Dark Subtracted #1
-2.0000;7241.0050
-1.0000;6715.7270
0.0000;5940.1080
1.0000;4975.6410
2.0000;3895.9410
3.0000;2839.2160
4.0000;1969.7690
5.0000;1237.5090
6.0000;742.4105
7.0000;570.7652
8.0000;453.1516
9.0000;389.7415
10.0000;434.4384
11.0000;416.3447
12.0000;269.2790
13.0000;116.6833
14.0000;8.2665
15.0000;-20.4918
16.0000;8.8060
17.0000;36.3091
18.0000;34.4464
19.0000;32.1532
20.0000;30.1507
21.0000;28.6677
22.0000;28.3307
23.0000;29.4604
24.0000;33.3747
25.0000;36.9914
26.0000;36.9571
27.0000;29.2666
28.0000;18.4113
29.0000;10.0837
30.0000;8.6800
31.0000;12.2586
32.0000;16.6285
33.0000;18.2254
34.0000;18.8852
35.0000;18.6885
36.0000;17.5502
37.0000;15.8052
38.0000;14.5183
39.0000;14.8704
40.0000;16.3684
41.0000;18.0172
42.0000;18.7563
43.0000;19.0218
44.0000;19.3492
45.0000;20.6860
46.0000;22.1699
47.0000;23.0644
48.0000;22.7250
49.0000;21.2975
50.0000;19.7756
51.0000;19.8717
52.0000;20.5411
53.0000;19.9702
54.0000;15.1532
55.0000;8.1819
56.0000;3.0819
57.0000;2.8446
58.0000;7.9134
59.0000;15.5802
60.0000;23.2100
61.0000;30.4101
62.0000;36.5855
63.0000;41.9153
64.0000;44.6256
65.0000;46.4707
66.0000;49.1860
67.0000;52.2910
68.0000;57.8006
69.0000;68.6171
70.0000;83.3053
71.0000;99.2150
72.0000;115.5190
73.0000;129.2939
74.0000;141.1336
75.0000;154.2531
76.0000;165.0126
77.0000;176.3787
78.0000;195.3736
79.0000;218.3092
80.0000;239.8191
81.0000;258.4035
82.0000;269.8783
83.0000;278.6577
84.0000;293.2629
85.0000;310.8257
86.0000;328.9401
87.0000;349.6304
88.0000;369.5298
89.0000;389.4329
90.0000;413.1821
91.0000;437.3289
92.0000;460.5853
93.0000;487.3436
94.0000;513.2162
95.0000;538.7894
96.0000;570.5859
97.0000;604.3843
98.0000;634.6327
99.0000;664.6244
100.0000;689.0726
101.0000;706.7606
102.0000;728.8007
103.0000;751.4197
104.0000;771.0831
105.0000;791.0936
106.0000;808.3177
107.0000;823.3922
108.0000;844.9930
109.0000;869.4601
110.0000;892.4809
111.0000;915.8376
112.0000;936.0832
113.0000;952.0764
114.0000;972.0094
115.0000;993.3206
116.0000;1012.4600
117.0000;1031.7610
118.0000;1048.5670
119.0000;1062.2070
120.0000;1078.2170
121.0000;1094.8330
122.0000;1108.4520
123.0000;1120.2980
124.0000;1128.2040
125.0000;1133.8490
126.0000;1143.4230
127.0000;1156.4340
128.0000;1170.5360
129.0000;1186.0990
130.0000;1201.4570
131.0000;1215.5400
132.0000;1230.9770
133.0000;1245.9590
134.0000;1256.5380
135.0000;1262.5640
136.0000;1261.9120
137.0000;1258.4820
138.0000;1260.9010
139.0000;1270.3660
140.0000;1281.2540
141.0000;1291.0010
142.0000;1297.9310
143.0000;1302.1400
144.0000;1306.3350
145.0000;1309.2900
146.0000;1311.0350
147.0000;1313.5160
148.0000;1316.2540
149.0000;1319.9500
150.0000;1326.8570
151.0000;1336.9180
152.0000;1345.4470
153.0000;1350.0790
154.0000;1348.8530
155.0000;1344.9630
156.0000;1343.1540
157.0000;1343.9170
158.0000;1345.9380
159.0000;1348.7790
160.0000;1352.4130
161.0000;1355.6720
162.0000;1358.0050
163.0000;1358.6180
164.0000;1358.2640
165.0000;1357.7610
166.0000;1357.1160
167.0000;1357.9190
168.0000;1363.0050
169.0000;1371.6720
170.0000;1379.6510
171.0000;1382.2350
172.0000;1378.3950
173.0000;1372.7740
174.0000;1370.6610
175.0000;1372.2630
176.0000;1374.7030
177.0000;1374.9310
178.0000;1373.5290
179.0000;1373.5380
180.0000;1378.2660
181.0000;1387.2380
182.0000;1395.8220
183.0000;1401.6990
184.0000;1402.9560
185.0000;1400.7230
186.0000;1395.6760
187.0000;1388.4930
188.0000;1383.4140
189.0000;1386.6740
190.0000;1396.7280
191.0000;1406.6470
192.0000;1408.1090
193.0000;1402.4810
194.0000;1395.7400
195.0000;1394.4290
196.0000;1397.2440
197.0000;1401.4900
198.0000;1404.5630
199.0000;1407.0140
200.0000;1409.0310
201.0000;1411.4860
202.0000;1413.2560
