Raman Shift ; Dark Subtracted #1
-2.0000;11959.1200
-1.0000;11030.7600
0.0000;9772.2660
1.0000;8230.5120
2.0000;6466.3040
3.0000;4698.1050
4.0000;3228.4000
5.0000;1995.5080
6.0000;1170.0050
7.0000;888.5363
8.0000;697.5343
9.0000;595.8353
10.0000;676.7262
11.0000;658.7783
12.0000;433.2402
13.0000;197.4812
14.0000;27.8410
15.0000;-21.6572
16.0000;18.2051
17.0000;58.3104
18.0000;58.5992
19.0000;60.1463
20.0000;59.2996
21.0000;53.3195
22.0000;46.0298
23.0000;40.5303
24.0000;39.1107
25.0000;40.4214
26.0000;41.7121
27.0000;40.4919
28.0000;38.9155
29.0000;37.7461
30.0000;37.8548
31.0000;38.4675
32.0000;38.4092
33.0000;36.0190
34.0000;33.1574
35.0000;31.5907
36.0000;32.9825
37.0000;36.1885
38.0000;39.4243
39.0000;41.1124
40.0000;41.3302
41.0000;40.4773
42.0000;39.3402
43.0000;37.3063
44.0000;34.7447
45.0000;31.6454
46.0000;28.6795
47.0000;26.3231
48.0000;24.4683
49.0000;23.9009
50.0000;24.0559
51.0000;23.9233
52.0000;24.1663
53.0000;24.6913
54.0000;25.0714
55.0000;25.5593
56.0000;26.4403
57.0000;26.7258
58.0000;27.5208
59.0000;31.1522
60.0000;40.1941
61.0000;53.3403
62.0000;67.2780
63.0000;79.2066
64.0000;87.2233
65.0000;95.7889
66.0000;109.4681
67.0000;125.9656
68.0000;146.2964
69.0000;173.5372
70.0000;203.8117
71.0000;236.2423
72.0000;275.7251
73.0000;314.4695
74.0000;348.9483
75.0000;382.8623
76.0000;406.7184
77.0000;429.4036
78.0000;468.5908
79.0000;516.1517
80.0000;562.4664
81.0000;605.5060
82.0000;636.9827
83.0000;668.0225
84.0000;718.6555
85.0000;780.9490
86.0000;843.2343
87.0000;906.2373
88.0000;958.1764
89.0000;1004.4640
90.0000;1062.5010
91.0000;1122.6040
92.0000;1178.6340
93.0000;1241.1510
94.0000;1299.1450
95.0000;1354.1270
96.0000;1421.9620
97.0000;1493.3210
98.0000;1558.5040
99.0000;1627.7300
100.0000;1690.3770
101.0000;1740.2990
102.0000;1799.0250
103.0000;1856.6240
104.0000;1907.4990
105.0000;1962.5540
106.0000;2013.8660
107.0000;2059.0220
108.0000;2116.1800
109.0000;2174.3310
110.0000;2227.6630
111.0000;2287.7890
112.0000;2347.6240
113.0000;2395.5950
114.0000;2444.4580
115.0000;2485.4510
116.0000;2518.9110
117.0000;2562.3130
118.0000;2611.7550
119.0000;2656.8100
120.0000;2700.0950
121.0000;2735.1850
122.0000;2760.8690
123.0000;2788.7260
124.0000;2814.9990
125.0000;2837.7840
126.0000;2866.5890
127.0000;2898.7780
128.0000;2929.0080
129.0000;2960.0540
130.0000;2987.8620
131.0000;3009.7120
132.0000;3031.0450
133.0000;3048.5520
134.0000;3062.3240
135.0000;3081.3720
136.0000;3104.1720
137.0000;3124.7510
138.0000;3142.4590
139.0000;3154.4010
140.0000;3162.2110
141.0000;3176.2070
142.0000;3195.9850
143.0000;3211.5680
144.0000;3219.8440
145.0000;3216.7530
146.0000;3210.5660
147.0000;3213.4290
148.0000;3226.6580
149.0000;3243.8270
150.0000;3260.4950
151.0000;3274.8370
152.0000;3283.2100
153.0000;3285.3110
154.0000;3278.4190
155.0000;3269.6150
156.0000;3268.8780
157.0000;3277.7080
158.0000;3289.8810
159.0000;3299.2290
160.0000;3304.5400
161.0000;3307.1110
162.0000;3309.6600
