Raman Shift ; Dark Subtracted #1
-2.0000;11020.5500
-1.0000;10040.9400
0.0000;8806.5870
1.0000;7351.0670
2.0000;5715.6130
3.0000;4113.2710
4.0000;2814.6030
5.0000;1729.7990
6.0000;1010.3030
7.0000;781.7565
8.0000;627.0947
9.0000;539.7755
10.0000;608.0497
11.0000;586.8719
12.0000;380.9621
13.0000;165.8137
14.0000;12.0571
15.0000;-30.5600
16.0000;9.0316
17.0000;48.7793
18.0000;51.9098
19.0000;55.4859
20.0000;56.6997
21.0000;53.6575
22.0000;48.1526
23.0000;42.5071
24.0000;37.8882
25.0000;34.9240
26.0000;33.5301
27.0000;34.0006
28.0000;36.3053
29.0000;38.2796
30.0000;38.3367
31.0000;37.2148
32.0000;35.3523
33.0000;32.4600
34.0000;29.6965
35.0000;28.5047
36.0000;30.5710
37.0000;34.3674
38.0000;37.4485
39.0000;37.5476
40.0000;35.1577
41.0000;31.5318
42.0000;26.4806
43.0000;21.7652
44.0000;19.9364
45.0000;23.7787
46.0000;31.8620
47.0000;39.4437
48.0000;42.2317
49.0000;40.8344
50.0000;37.9871
51.0000;35.9549
52.0000;34.5224
53.0000;34.9970
54.0000;38.2680
55.0000;44.4371
56.0000;52.3271
57.0000;61.0668
58.0000;69.6434
59.0000;77.9987
60.0000;84.7421
61.0000;90.0950
62.0000;100.1951
63.0000;122.4478
64.0000;152.7053
65.0000;187.6666
66.0000;223.6518
67.0000;257.2253
68.0000;296.1934
69.0000;353.2192
70.0000;418.4927
71.0000;487.6262
72.0000;568.5427
73.0000;645.4178
74.0000;714.2222
75.0000;787.3052
76.0000;844.0716
77.0000;896.9641
78.0000;976.0886
79.0000;1064.6360
80.0000;1149.9400
81.0000;1236.6230
82.0000;1307.8690
83.0000;1377.4780
84.0000;1474.9210
85.0000;1584.8320
86.0000;1695.6430
87.0000;1820.2940
88.0000;1937.2230
89.0000;2048.3770
90.0000;2176.3860
91.0000;2300.8060
92.0000;2416.4420
93.0000;2551.9190
94.0000;2684.4460
95.0000;2813.9570
96.0000;2969.5620
97.0000;3130.2830
98.0000;3279.1570
99.0000;3444.2570
100.0000;3602.3160
101.0000;3730.5330
102.0000;3871.5440
103.0000;3999.7430
104.0000;4107.4650
105.0000;4225.8430
106.0000;4337.6430
107.0000;4441.1730
108.0000;4584.5960
109.0000;4743.2800
110.0000;4890.7420
111.0000;5039.1970
112.0000;5166.1540
113.0000;5261.1540
114.0000;5371.2320
115.0000;5479.8230
116.0000;5579.0070
117.0000;5700.1070
118.0000;5831.5690
119.0000;5950.6470
120.0000;6065.1130
121.0000;6157.9400
122.0000;6227.8020
123.0000;6307.4790
124.0000;6387.2980
125.0000;6459.6630
126.0000;6546.5910
127.0000;6639.4700
128.0000;6725.7210
129.0000;6815.4260
130.0000;6897.0700
131.0000;6964.3350
132.0000;7035.9460
133.0000;7102.5420
134.0000;7156.6790
135.0000;7214.8480
136.0000;7269.5130
137.0000;7316.2990
138.0000;7370.7970
139.0000;7428.6590
140.0000;7477.8230
141.0000;7532.3520
142.0000;7585.3540
143.0000;7625.9990
144.0000;7668.6910
145.0000;7702.8570
146.0000;7727.6070
147.0000;7759.5100
148.0000;7791.8570
149.0000;7817.4860
150.0000;7839.2320
151.0000;7852.6950
152.0000;7859.8130
153.0000;7873.8370
154.0000;7893.5290
155.0000;7910.6830
156.0000;7925.5750
157.0000;7933.9180
158.0000;7939.7320
159.0000;7951.2050
160.0000;7967.3360
161.0000;7982.4270
162.0000;7996.5490
163.0000;8006.0360
164.0000;8013.9820
165.0000;8025.9070
166.0000;8040.3880
167.0000;8054.8350
168.0000;8072.7890
169.0000;8090.0750
170.0000;8105.4160
171.0000;8118.5070
172.0000;8127.1030
173.0000;8136.0810
174.0000;8156.4780
175.0000;8184.6990
176.0000;8212.2200
177.0000;8237.9990
178.0000;8255.3890
179.0000;8269.1270
180.0000;8287.5490
181.0000;8306.1550
182.0000;8322.9200
183.0000;8344.3820
184.0000;8364.5510
185.0000;8381.2070
186.0000;8398.1460
187.0000;8409.9820
188.0000;8421.3590
189.0000;8442.6330
190.0000;8465.7220
191.0000;8484.6310
192.0000;8495.2110
193.0000;8494.3630
194.0000;8490.8970
195.0000;8496.7280
196.0000;8507.4460
197.0000;8518.8390
198.0000;8529.6350
199.0000;8537.8040
200.0000;8542.6580
201.0000;8544.7020
202.0000;8542.8880
203.0000;8541.9140
204.0000;8545.2300
205.0000;8552.9300
206.0000;8565.8750
207.0000;8586.7040
208.0000;8611.2850
209.0000;8632.6740
210.0000;8646.8370
211.0000;8651.7380
212.0000;8655.9030
213.0000;8669.9790
214.0000;8684.6850
215.0000;8699.0000
216.0000;8710.5590
217.0000;8719.3030
218.0000;8731.3210
219.0000;8755.1120
220.0000;8781.5170
221.0000;8807.2330
222.0000;8831.5020
223.0000;8849.1650
