Raman Shift ; Dark Subtracted #1
98.0000;6201.0880
99.0000;6190.0440
100.0000;6168.4780
101.0000;6137.2880
102.0000;6100.1990
103.0000;6067.6530
104.0000;6046.0890
105.0000;6041.8670
106.0000;6031.1840
107.0000;5992.6250
108.0000;5946.8960
109.0000;5898.3390
110.0000;5861.4210
111.0000;5833.5930
112.0000;5816.9570
113.0000;5814.2890
114.0000;5808.6910
115.0000;5807.9180
116.0000;5805.7830
117.0000;5801.5350
118.0000;5794.8770
119.0000;5785.3620
120.0000;5773.2080
121.0000;5757.9380
122.0000;5741.0380
123.0000;5721.8260
124.0000;5700.1570
125.0000;5678.0540
126.0000;5644.3610
127.0000;5614.3960
128.0000;5596.0020
129.0000;5596.9220
130.0000;5599.7910
131.0000;5579.6700
132.0000;5556.0790
133.0000;5541.4600
134.0000;5540.0020
135.0000;5537.7740
136.0000;5525.7220
137.0000;5514.5560
138.0000;5505.2480
139.0000;5503.7030
140.0000;5511.0400
141.0000;5528.1540
142.0000;5551.9000
143.0000;5580.4320
144.0000;5607.4250
145.0000;5636.3310
146.0000;5658.8090
147.0000;5665.6370
148.0000;5655.7370
149.0000;5625.1660
150.0000;5578.2390
151.0000;5524.5690
152.0000;5480.2010
153.0000;5455.4580
154.0000;5435.4110
155.0000;5392.4580
156.0000;5350.9170
157.0000;5312.0560
158.0000;5284.8550
159.0000;5265.5530
160.0000;5252.1640
161.0000;5242.2990
162.0000;5215.5050
163.0000;5183.1230
164.0000;5151.1090
165.0000;5126.3150
166.0000;5107.1100
167.0000;5085.5900
168.0000;5071.3760
169.0000;5058.7400
170.0000;5051.0770
171.0000;5039.6550
172.0000;5019.9980
173.0000;5001.3520
174.0000;4983.2240
175.0000;4974.1540
176.0000;4973.7920
177.0000;4983.8850
178.0000;4994.2660
179.0000;4995.8440
180.0000;4990.3330
181.0000;4979.1850
182.0000;4964.7660
183.0000;4954.2000
184.0000;4951.9710
185.0000;4954.7250
186.0000;4957.2540
187.0000;4959.6400
188.0000;4957.0590
189.0000;4949.3620
190.0000;4941.5550
191.0000;4937.1040
192.0000;4934.1600
193.0000;4928.8660
194.0000;4923.7200
195.0000;4919.9720
196.0000;4918.3560
197.0000;4912.6990
198.0000;4895.7420
199.0000;4878.6460
200.0000;4871.9580
201.0000;4876.2800
202.0000;4877.1980
203.0000;4868.6140
204.0000;4859.5320
205.0000;4855.6880
206.0000;4855.5210
207.0000;4850.9940
208.0000;4844.2120
209.0000;4845.2470
210.0000;4860.5290
211.0000;4877.8040
212.0000;4879.9320
213.0000;4873.1850
214.0000;4876.4270
215.0000;4892.9860
216.0000;4909.2640
217.0000;4915.8610
218.0000;4915.4450
219.0000;4914.9050
220.0000;4913.4500
221.0000;4915.3300
222.0000;4922.2120
223.0000;4929.1170
224.0000;4931.0300
225.0000;4931.1040
226.0000;4936.9610
227.0000;4946.4800
228.0000;4950.7020
229.0000;4945.5750
230.0000;4935.6660
231.0000;4926.7900
232.0000;4920.7690
233.0000;4919.9250
234.0000;4925.4040
235.0000;4930.6790
236.0000;4930.3390
237.0000;4928.9350
238.0000;4932.9120
239.0000;4937.0580
240.0000;4932.9450
241.0000;4919.1170
242.0000;4903.8610
243.0000;4890.8650
244.0000;4887.0980
245.0000;4896.5830
246.0000;4915.7440
247.0000;4926.9120
248.0000;4922.2050
249.0000;4915.5500
250.0000;4918.5510
251.0000;4926.7130
252.0000;4937.9520
253.0000;4949.9670
254.0000;4957.9420
255.0000;4959.0290
256.0000;4957.4000
257.0000;4959.2850
258.0000;4962.8570
259.0000;4970.3720
260.0000;4980.1280
261.0000;4988.1040
262.0000;4992.0230
263.0000;4993.7920
264.0000;4998.1880
265.0000;5002.5670
266.0000;5008.6070
267.0000;5014.6620
268.0000;5016.9520
269.0000;5013.0540
270.0000;5009.7620
271.0000;5018.3050
272.0000;5029.4290
273.0000;5027.4260
274.0000;5011.8410
275.0000;4999.4150
276.0000;5001.4310
277.0000;5008.7470
278.0000;5010.1480
279.0000;5009.6930
280.0000;5011.7080
281.0000;5015.9790
282.0000;5019.3850
283.0000;5019.6680
284.0000;5019.3130
285.0000;5022.1870
286.0000;5026.2080
287.0000;5029.9840
288.0000;5032.0910
289.0000;5031.1850
290.0000;5026.1270
291.0000;5021.4140
292.0000;5022.1660
293.0000;5027.3740
294.0000;5032.1670
295.0000;5035.3480
296.0000;5038.2920
297.0000;5040.1150
298.0000;5046.0620
299.0000;5063.8690
300.0000;5086.8880
301.0000;5106.8970
302.0000;5117.9510
303.0000;5122.4420
304.0000;5122.2280
305.0000;5119.0210
306.0000;5121.0460
307.0000;5127.4280
308.0000;5139.0140
309.0000;5153.8800
310.0000;5168.8510
311.0000;5181.1210
312.0000;5187.4780
313.0000;5191.3510
314.0000;5189.4730
315.0000;5186.8480
316.0000;5184.1560
317.0000;5182.5590
318.0000;5183.0040
319.0000;5187.1510
320.0000;5196.3470
321.0000;5207.4550
322.0000;5216.1700
323.0000;5219.9910
324.0000;5222.2310
325.0000;5224.5290
326.0000;5224.8190
327.0000;5226.1140
328.0000;5224.1750
329.0000;5214.2250
330.0000;5198.7040
331.0000;5190.7470
332.0000;5196.5710
333.0000;5207.8000
334.0000;5215.5720
335.0000;5219.3670
336.0000;5215.8180
337.0000;5207.2490
338.0000;5207.1250
339.0000;5220.9700
340.0000;5237.1740
341.0000;5244.6500
342.0000;5249.5080
343.0000;5264.5700
344.0000;5283.5080
345.0000;5297.7060
346.0000;5301.4030
347.0000;5300.5770
348.0000;5304.2340
349.0000;5301.5410
350.0000;5281.4700
351.0000;5257.7730
352.0000;5260.5800
353.0000;5296.6410
354.0000;5333.3350
355.0000;5348.0790
356.0000;5350.5040
357.0000;5357.1940
358.0000;5361.6660
359.0000;5368.9650
360.0000;5377.7460
361.0000;5385.2270
362.0000;5389.3370
363.0000;5392.3060
364.0000;5398.7190
365.0000;5405.9980
366.0000;5415.6160
367.0000;5424.9880
368.0000;5434.5400
369.0000;5442.6850
370.0000;5445.6600
371.0000;5442.9170
372.0000;5435.4030
373.0000;5429.4660
374.0000;5426.3640
375.0000;5427.5400
376.0000;5433.5150
377.0000;5437.6120
378.0000;5434.5720
379.0000;5427.0070
380.0000;5415.8540
381.0000;5406.6040
382.0000;5407.0970
383.0000;5418.1380
384.0000;5424.7670
385.0000;5417.6690
386.0000;5407.7600
387.0000;5404.6020
388.0000;5407.2620
389.0000;5414.3620
390.0000;5423.7760
391.0000;5428.7560
392.0000;5425.3470
393.0000;5420.2400
394.0000;5420.2310
395.0000;5420.0350
396.0000;5413.3820
397.0000;5404.8130
398.0000;5403.3700
399.0000;5411.1430
400.0000;5420.6180
401.0000;5426.1410
402.0000;5430.2090
403.0000;5436.2620
404.0000;5440.9030
405.0000;5443.4360
406.0000;5443.5000
407.0000;5446.0400
408.0000;5452.8360
409.0000;5458.9380
410.0000;5460.8430
411.0000;5461.2200
412.0000;5466.8520
413.0000;5473.7480
414.0000;5475.9230
415.0000;5471.5750
416.0000;5466.4320
417.0000;5464.8420
418.0000;5461.0120
419.0000;5449.8030
420.0000;5435.6810
421.0000;5420.5810
422.0000;5410.1610
423.0000;5408.8100
424.0000;5418.7480
425.0000;5431.4840
426.0000;5440.2760
427.0000;5438.4120
428.0000;5417.0670
429.0000;5386.8460
430.0000;5373.7550
431.0000;5383.6040
432.0000;5392.3210
433.0000;5387.6220
434.0000;5380.2860
435.0000;5377.0510
436.0000;5374.8880
437.0000;5368.5910
438.0000;5361.8610
439.0000;5361.3500
440.0000;5368.6670
441.0000;5372.8330
442.0000;5365.7900
443.0000;5357.2610
444.0000;5356.5090
445.0000;5361.2990
446.0000;5366.0930
447.0000;5370.2010
448.0000;5373.2160
449.0000;5374.3600
450.0000;5374.4250
451.0000;5374.0860
452.0000;5375.0080
453.0000;5381.2650
454.0000;5388.8840
455.0000;5389.9260
456.0000;5384.6850
457.0000;5387.4120
458.0000;5404.2330
459.0000;5415.3980
460.0000;5402.1170
461.0000;5384.8730
462.0000;5390.8440
463.0000;5412.8400
464.0000;5429.2010
465.0000;5434.4300
466.0000;5437.4520
467.0000;5441.4260
468.0000;5446.3350
469.0000;5458.7130
470.0000;5468.7350
471.0000;5466.4860
472.0000;5457.8940
473.0000;5468.0360
474.0000;5498.6490
475.0000;5524.4780
476.0000;5529.2610
477.0000;5523.7000
478.0000;5523.3330
479.0000;5521.2850
