Raman Shift ; Dark Subtracted #1
98.0000;2700.0870
99.0000;2706.5260
100.0000;2699.9090
101.0000;2690.4550
102.0000;2693.4880
103.0000;2701.9170
104.0000;2708.4570
105.0000;2711.1660
106.0000;2713.7680
107.0000;2717.3820
108.0000;2723.7120
109.0000;2741.1600
110.0000;2761.8140
111.0000;2769.4390
112.0000;2753.3530
113.0000;2734.8510
114.0000;2739.6820
115.0000;2757.7130
116.0000;2768.8260
117.0000;2766.8330
118.0000;2762.7790
119.0000;2766.3010
120.0000;2770.2000
121.0000;2768.8170
122.0000;2762.6600
123.0000;2758.3850
124.0000;2759.2750
125.0000;2763.9710
126.0000;2771.4090
127.0000;2779.3490
128.0000;2784.0050
129.0000;2782.9470
130.0000;2781.4180
131.0000;2787.3500
132.0000;2792.8090
133.0000;2790.2150
134.0000;2779.8420
135.0000;2771.1280
136.0000;2770.5960
137.0000;2774.4860
138.0000;2775.8590
139.0000;2778.4040
140.0000;2788.7520
141.0000;2807.9210
142.0000;2822.6670
143.0000;2823.4580
144.0000;2815.2350
145.0000;2815.1440
146.0000;2822.8330
147.0000;2828.0920
148.0000;2825.4610
149.0000;2819.6910
150.0000;2814.9030
151.0000;2812.6590
152.0000;2814.9680
153.0000;2822.9050
154.0000;2831.2130
155.0000;2837.7080
156.0000;2837.1870
157.0000;2824.3980
158.0000;2802.1130
159.0000;2791.7510
160.0000;2808.9200
161.0000;2826.2320
162.0000;2809.6490
163.0000;2774.4650
164.0000;2757.1040
165.0000;2769.7450
166.0000;2788.3210
167.0000;2792.0570
168.0000;2790.5240
169.0000;2790.5630
170.0000;2792.0740
171.0000;2797.2630
172.0000;2808.3010
173.0000;2814.3930
174.0000;2801.3880
175.0000;2782.9680
176.0000;2787.5110
177.0000;2819.7270
178.0000;2847.0670
179.0000;2844.5080
180.0000;2828.6380
181.0000;2824.3100
182.0000;2829.0980
183.0000;2835.4040
184.0000;2840.7990
185.0000;2843.3320
186.0000;2839.3090
187.0000;2833.2650
188.0000;2834.4900
189.0000;2843.7510
190.0000;2853.8270
