Raman Shift ; Dark Subtracted #1
-2.0000;10430.2600
-1.0000;10118.3700
0.0000;9526.1920
1.0000;8566.3660
2.0000;7231.3940
3.0000;5617.5170
4.0000;4049.8900
5.0000;2661.9430
6.0000;1619.3040
7.0000;1077.0070
8.0000;691.6694
9.0000;520.0701
10.0000;612.2368
11.0000;610.3448
12.0000;384.9266
13.0000;163.0418
14.0000;2.8124
15.0000;-49.8932
16.0000;-16.3706
17.0000;18.3936
18.0000;15.6668
19.0000;17.0688
20.0000;19.3235
21.0000;20.4809
22.0000;22.2977
23.0000;24.5992
24.0000;28.0472
25.0000;30.3752
26.0000;29.8417
27.0000;23.8461
28.0000;15.7704
29.0000;10.2710
30.0000;10.2675
31.0000;15.2090
32.0000;22.7140
33.0000;32.3311
34.0000;41.6407
35.0000;47.1114
36.0000;46.0244
37.0000;39.5192
38.0000;32.3684
39.0000;30.4231
40.0000;30.7923
41.0000;30.8619
42.0000;27.2258
43.0000;22.4495
44.0000;18.4605
45.0000;17.2260
46.0000;18.1268
47.0000;18.5154
48.0000;14.4104
49.0000;8.6150
50.0000;4.4848
51.0000;4.6765
52.0000;9.0532
53.0000;14.8255
54.0000;19.1754
55.0000;22.3531
56.0000;24.8995
57.0000;28.4019
58.0000;31.1445
59.0000;32.2382
60.0000;29.9268
61.0000;25.2995
62.0000;23.3935
63.0000;30.9111
64.0000;45.3949
65.0000;59.2771
66.0000;63.4295
67.0000;59.0731
68.0000;56.8659
69.0000;68.5493
70.0000;91.7280
71.0000;118.1421
72.0000;141.5426
73.0000;158.6039
74.0000;173.0658
75.0000;192.9975
76.0000;212.4997
77.0000;231.2122
78.0000;253.6197
79.0000;275.0781
80.0000;295.0585
81.0000;317.9828
82.0000;339.3448
83.0000;360.6960
84.0000;388.3052
85.0000;417.6487
86.0000;445.2122
87.0000;473.1806
88.0000;496.1771
89.0000;519.1178
90.0000;553.4756
91.0000;594.5701
92.0000;634.3614
93.0000;673.0940
94.0000;703.3101
95.0000;729.6432
96.0000;764.7650
97.0000;803.9285
98.0000;842.8562
99.0000;889.6279
100.0000;938.9052
101.0000;980.0484
102.0000;1019.4520
103.0000;1048.8530
104.0000;1070.9200
105.0000;1099.4860
106.0000;1130.8960
107.0000;1162.9190
108.0000;1206.4630
109.0000;1254.2350
110.0000;1300.1460
111.0000;1348.9010
112.0000;1394.0610
113.0000;1428.5040
114.0000;1463.1290
115.0000;1491.4380
116.0000;1514.8630
117.0000;1547.7080
118.0000;1587.5100
119.0000;1626.8940
120.0000;1667.6680
121.0000;1704.7110
122.0000;1734.8750
123.0000;1764.5470
124.0000;1789.2600
125.0000;1808.9240
126.0000;1834.2220
127.0000;1862.8020
128.0000;1890.1860
129.0000;1920.5900
130.0000;1950.6080
131.0000;1974.4190
132.0000;1993.1450
133.0000;2002.7410
134.0000;2007.4000
135.0000;2019.7780
136.0000;2039.7300
137.0000;2062.0800
138.0000;2085.8720
139.0000;2109.0460
140.0000;2128.3010
141.0000;2148.7150
142.0000;2167.3740
143.0000;2180.4430
144.0000;2193.8200
145.0000;2203.9380
146.0000;2210.1020
147.0000;2217.2590
148.0000;2223.6110
149.0000;2229.0770
150.0000;2237.5690
151.0000;2248.5420
152.0000;2256.9880
153.0000;2261.5430
154.0000;2260.1410
155.0000;2256.1850
156.0000;2255.4470
157.0000;2258.3480
158.0000;2261.9480
159.0000;2263.2810
160.0000;2262.0660
161.0000;2262.0850
162.0000;2268.1020
163.0000;2279.6240
164.0000;2291.2200
165.0000;2296.2060
166.0000;2293.2900
167.0000;2290.0350
168.0000;2296.1790
169.0000;2310.8370
170.0000;2326.4310
171.0000;2334.9040
172.0000;2334.8510
173.0000;2333.1360
174.0000;2338.7330
175.0000;2350.5120
176.0000;2363.1470
177.0000;2374.6800
178.0000;2382.5790
179.0000;2389.1730
180.0000;2399.4870
181.0000;2410.4990
182.0000;2417.0120
183.0000;2417.0080
184.0000;2408.9420
185.0000;2399.6410
186.0000;2394.7930
187.0000;2395.4730
188.0000;2401.3880
189.0000;2414.0090
190.0000;2430.7020
191.0000;2444.6490
192.0000;2447.4860
193.0000;2439.5660
194.0000;2430.1580
195.0000;2430.6040
196.0000;2437.9810
197.0000;2446.5540
198.0000;2450.9060
199.0000;2452.1670
200.0000;2452.9610
201.0000;2457.7540
202.0000;2463.3070
203.0000;2466.0110
204.0000;2462.0880
205.0000;2453.5050
206.0000;2446.8720
207.0000;2448.6830
208.0000;2456.4970
209.0000;2464.6330
210.0000;2467.8160
211.0000;2467.6290
212.0000;2466.4270
213.0000;2464.9760
214.0000;2464.4060
215.0000;2467.8000
216.0000;2477.7050
217.0000;2492.3330
218.0000;2508.1740
219.0000;2526.7110
220.0000;2541.8570
221.0000;2551.6850
222.0000;2555.0050
223.0000;2551.2800
224.0000;2548.3030
225.0000;2552.9940
226.0000;2559.1390
227.0000;2563.9810
228.0000;2563.9160
229.0000;2562.6030
230.0000;2565.3440
231.0000;2576.0990
232.0000;2588.8440
233.0000;2597.3360
234.0000;2597.1380
235.0000;2592.2200
236.0000;2589.4190
237.0000;2591.6520
238.0000;2596.4560
239.0000;2602.7030
240.0000;2609.6570
241.0000;2617.0140
242.0000;2624.7860
243.0000;2632.7140
244.0000;2639.3420
245.0000;2646.1800
246.0000;2652.5300
247.0000;2656.4380
248.0000;2658.5680
249.0000;2657.9580
250.0000;2656.4870
251.0000;2657.9590
252.0000;2662.8360
253.0000;2668.1300
254.0000;2672.0010
255.0000;2673.4570
256.0000;2672.9360
257.0000;2671.2500
258.0000;2668.2600
259.0000;2665.8680
260.0000;2665.5880
261.0000;2667.9830
262.0000;2673.1820
263.0000;2680.3600
264.0000;2689.4640
265.0000;2700.5290
266.0000;2715.9420
267.0000;2731.6840
268.0000;2743.5600
269.0000;2749.5070
270.0000;2747.6350
271.0000;2744.5130
272.0000;2748.7190
273.0000;2755.6560
274.0000;2762.0960
275.0000;2766.2740
276.0000;2767.5520
277.0000;2767.4000
278.0000;2766.8520
279.0000;2765.8450
280.0000;2766.8290
281.0000;2772.9270
282.0000;2780.5910
283.0000;2785.8960
284.0000;2784.6920
285.0000;2780.9850
286.0000;2780.7450
287.0000;2787.4360
288.0000;2798.6810
289.0000;2813.0310
290.0000;2831.1120
291.0000;2845.9570
292.0000;2854.7260
293.0000;2854.3100
294.0000;2846.4960
295.0000;2838.0120
296.0000;2830.6540
297.0000;2825.3140
298.0000;2823.5320
299.0000;2826.6530
300.0000;2835.0580
301.0000;2848.5010
302.0000;2865.3450
303.0000;2881.1320
304.0000;2892.5430
305.0000;2896.3980
306.0000;2895.7710
307.0000;2896.7280
308.0000;2897.7110
309.0000;2898.8530
310.0000;2902.7450
311.0000;2908.0260
312.0000;2912.3910
313.0000;2914.4190
314.0000;2913.5000
315.0000;2911.5930
316.0000;2909.0750
317.0000;2907.5040
318.0000;2910.2350
319.0000;2922.9850
320.0000;2939.6250
321.0000;2952.2450
322.0000;2953.4640
323.0000;2947.0280
324.0000;2942.3030
325.0000;2946.7030
326.0000;2955.5170
327.0000;2966.1560
328.0000;2977.3360
329.0000;2987.4730
330.0000;2997.2120
331.0000;3006.1370
332.0000;3012.2900
333.0000;3017.2460
334.0000;3020.6120
335.0000;3022.9640
336.0000;3028.4740
337.0000;3037.1820
338.0000;3046.7940
339.0000;3057.9000
340.0000;3069.1610
341.0000;3076.1420
342.0000;3077.7190
343.0000;3071.8960
344.0000;3064.4510
345.0000;3063.2500
346.0000;3067.5250
347.0000;3071.4390
348.0000;3070.2100
349.0000;3064.4480
350.0000;3057.3950
351.0000;3047.8420
352.0000;3040.1900
353.0000;3041.1610
354.0000;3057.0320
355.0000;3083.6080
