Raman Shift ; Dark Subtracted #1
-2.0000;3752.5560
-1.0000;3502.5360
0.0000;3104.7120
1.0000;2598.7660
2.0000;2036.0040
3.0000;1488.5830
4.0000;1037.7480
5.0000;658.7455
6.0000;403.7111
7.0000;315.1626
8.0000;251.7081
9.0000;212.7156
10.0000;228.2792
11.0000;210.7776
12.0000;126.8390
13.0000;43.0138
14.0000;-13.8401
15.0000;-23.8239
16.0000;-0.6138
17.0000;19.6754
18.0000;20.2613
19.0000;17.9455
20.0000;15.5951
21.0000;14.9295
22.0000;14.5915
23.0000;14.2773
24.0000;13.6701
25.0000;13.3325
26.0000;13.4524
27.0000;14.3555
28.0000;15.5911
29.0000;16.4382
30.0000;16.2756
31.0000;15.5008
32.0000;14.7607
33.0000;14.2738
34.0000;14.3232
35.0000;15.2733
36.0000;18.6866
37.0000;22.1370
38.0000;23.2336
39.0000;18.4457
40.0000;10.4274
41.0000;3.8497
42.0000;3.2288
43.0000;6.9347
44.0000;10.9567
45.0000;10.6469
46.0000;8.3616
47.0000;6.4910
48.0000;7.4177
49.0000;10.1883
50.0000;13.2145
51.0000;14.3854
52.0000;14.6278
53.0000;15.9091
54.0000;21.2171
55.0000;28.5059
56.0000;34.5563
57.0000;35.4859
58.0000;32.2938
59.0000;30.7031
60.0000;36.1361
61.0000;47.6668
62.0000;62.6419
63.0000;78.3240
64.0000;93.2027
65.0000;110.8812
66.0000;135.1151
67.0000;162.3684
68.0000;193.2604
69.0000;231.8787
70.0000;271.8809
71.0000;313.1727
72.0000;363.4730
73.0000;412.6051
74.0000;457.7849
75.0000;506.4593
76.0000;545.6666
77.0000;584.0053
78.0000;641.7444
79.0000;707.2007
80.0000;770.0552
81.0000;831.5753
82.0000;879.6542
83.0000;926.2808
84.0000;995.9703
85.0000;1077.4530
86.0000;1158.0210
87.0000;1241.3100
88.0000;1312.0660
89.0000;1379.1290
90.0000;1468.3770
91.0000;1566.1440
92.0000;1657.2380
93.0000;1749.4880
94.0000;1825.1250
95.0000;1893.1610
96.0000;1985.2790
97.0000;2089.1350
98.0000;2186.7200
99.0000;2289.2660
100.0000;2381.0880
101.0000;2452.4330
102.0000;2533.1350
103.0000;2608.5320
104.0000;2672.0970
105.0000;2740.7170
106.0000;2804.2220
107.0000;2863.0900
108.0000;2946.4210
109.0000;3040.2730
110.0000;3129.2690
111.0000;3220.5320
112.0000;3300.9410
113.0000;3362.7950
114.0000;3433.7800
115.0000;3503.2020
116.0000;3563.6790
117.0000;3632.4620
118.0000;3701.8110
119.0000;3760.2440
120.0000;3816.7270
121.0000;3862.6490
122.0000;3895.4370
123.0000;3930.6350
124.0000;3963.3400
125.0000;3995.3660
126.0000;4045.5550
127.0000;4111.4280
128.0000;4172.8180
129.0000;4218.2640
130.0000;4237.7440
131.0000;4242.5090
132.0000;4260.1280
133.0000;4290.3750
134.0000;4322.4790
135.0000;4355.9190
136.0000;4386.6730
137.0000;4411.7640
138.0000;4434.8130
139.0000;4452.3420
140.0000;4464.2900
141.0000;4481.6480
142.0000;4503.2150
143.0000;4523.7690
144.0000;4549.4990
145.0000;4575.5100
146.0000;4595.9370
147.0000;4611.0580
148.0000;4615.4740
149.0000;4614.6820
150.0000;4620.3030
151.0000;4632.5630
152.0000;4646.8660
153.0000;4665.0820
154.0000;4685.5840
155.0000;4701.0450
156.0000;4710.1880
157.0000;4708.7710
158.0000;4700.9240
159.0000;4694.4370
160.0000;4689.5170
161.0000;4688.3190
162.0000;4693.9640
163.0000;4706.9060
164.0000;4723.3520
165.0000;4738.1310
166.0000;4749.6450
167.0000;4757.9590
168.0000;4767.8750
169.0000;4775.9630
170.0000;4779.8010
171.0000;4777.3180
172.0000;4768.0360
173.0000;4762.9500
174.0000;4775.7370
175.0000;4805.7970
176.0000;4835.8770
177.0000;4851.7800
178.0000;4850.2130
179.0000;4845.9600
180.0000;4856.7970
181.0000;4879.8070
182.0000;4904.6800
183.0000;4928.2480
184.0000;4945.5240
185.0000;4957.7600
186.0000;4972.5170
187.0000;4983.0500
188.0000;4989.0260
189.0000;4993.0300
190.0000;4992.4610
191.0000;4991.4810
192.0000;4996.8130
193.0000;5005.6430
194.0000;5015.0720
195.0000;5023.5300
196.0000;5029.2910
197.0000;5031.7110
198.0000;5031.0880
199.0000;5026.8130
200.0000;5023.3460
201.0000;5025.8260
202.0000;5032.4670
203.0000;5039.5110
204.0000;5042.9390
205.0000;5044.1170
206.0000;5046.0830
207.0000;5051.2140
208.0000;5058.7750
209.0000;5068.9160
210.0000;5085.6310
211.0000;5101.7510
212.0000;5112.4350
213.0000;5109.9250
214.0000;5099.4970
215.0000;5094.4000
216.0000;5110.3540
217.0000;5136.2380
218.0000;5159.3730
219.0000;5171.2500
220.0000;5174.1940
221.0000;5177.2870
222.0000;5187.7600
223.0000;5199.9740
224.0000;5214.0100
225.0000;5230.4530
226.0000;5245.6060
227.0000;5261.3720
228.0000;5277.5580
229.0000;5291.5000
230.0000;5308.1660
231.0000;5331.2780
232.0000;5351.1820
233.0000;5363.3250
234.0000;5363.7120
235.0000;5355.2800
236.0000;5349.3140
237.0000;5350.1920
238.0000;5355.2600
239.0000;5364.4990
240.0000;5377.9450
241.0000;5392.8620
242.0000;5406.4860
243.0000;5417.2470
244.0000;5424.6170
245.0000;5431.9770
246.0000;5438.4170
247.0000;5444.7660
248.0000;5456.6950
249.0000;5473.9060
250.0000;5489.4970
