Raman Shift ; Dark Subtracted #1
-2.0000;3062.4740
-1.0000;2874.9420
0.0000;2605.0070
1.0000;2248.9020
2.0000;1814.3290
3.0000;1347.2860
4.0000;934.7748
5.0000;583.0579
6.0000;338.8473
7.0000;239.3602
8.0000;170.7814
9.0000;137.8626
10.0000;162.5771
11.0000;162.0588
12.0000;104.9900
13.0000;46.5121
14.0000;5.1720
15.0000;-5.4361
16.0000;5.9830
17.0000;15.8630
18.0000;13.4713
19.0000;9.6820
20.0000;4.3285
21.0000;-3.7465
22.0000;-10.4292
23.0000;-12.3887
24.0000;-6.6040
25.0000;3.2355
26.0000;11.8339
27.0000;14.6148
28.0000;13.3441
29.0000;10.6839
30.0000;8.8261
31.0000;6.5119
32.0000;4.5816
33.0000;3.3074
34.0000;3.1882
35.0000;4.0229
36.0000;5.4133
37.0000;7.5827
38.0000;10.1240
39.0000;13.2762
40.0000;15.8450
41.0000;16.9940
42.0000;15.6323
43.0000;12.4936
44.0000;10.1792
45.0000;11.7925
46.0000;15.6563
47.0000;18.9675
48.0000;18.8965
49.0000;16.3796
50.0000;13.6080
51.0000;13.0692
52.0000;13.8422
53.0000;14.4237
54.0000;13.1579
55.0000;10.7529
56.0000;8.3228
57.0000;6.1335
58.0000;4.9762
59.0000;5.4757
60.0000;6.5964
61.0000;9.7155
62.0000;16.3411
63.0000;28.8176
64.0000;44.6978
65.0000;60.4806
66.0000;72.9086
67.0000;80.2534
68.0000;87.6636
69.0000;103.1853
70.0000;122.9143
71.0000;142.6001
72.0000;160.9670
73.0000;174.4981
74.0000;186.6455
75.0000;205.2041
76.0000;225.1701
77.0000;245.5328
78.0000;269.1564
79.0000;291.7049
80.0000;313.5727
81.0000;339.8415
82.0000;365.7432
83.0000;392.3499
84.0000;425.2563
85.0000;459.3125
86.0000;491.6865
87.0000;526.8317
88.0000;558.1722
89.0000;588.2175
90.0000;626.5920
91.0000;667.5204
92.0000;706.5715
93.0000;749.5956
94.0000;789.0405
95.0000;825.3987
96.0000;868.4086
97.0000;911.7831
98.0000;951.0377
99.0000;995.2977
100.0000;1038.3460
101.0000;1073.0880
