Raman Shift ; Dark Subtracted #1
-2.0000;6937.8410
-1.0000;6418.9790
0.0000;5682.4620
1.0000;4770.2780
2.0000;3739.2220
3.0000;2719.2230
4.0000;1876.1070
5.0000;1168.6310
6.0000;694.5632
7.0000;533.1504
8.0000;421.8048
9.0000;359.2924
10.0000;400.7617
11.0000;384.8204
12.0000;249.4876
13.0000;110.0316
14.0000;11.2636
15.0000;-14.4224
16.0000;12.8250
17.0000;37.4464
18.0000;33.6653
19.0000;28.7214
20.0000;24.0716
21.0000;20.3263
22.0000;18.4638
23.0000;18.5144
24.0000;21.1146
25.0000;24.8119
26.0000;26.8885
27.0000;24.5075
28.0000;20.0811
29.0000;16.5343
30.0000;16.4602
31.0000;18.1506
32.0000;19.5082
33.0000;18.8837
34.0000;17.1142
35.0000;14.5846
36.0000;10.2434
37.0000;6.5258
38.0000;5.4641
39.0000;10.0850
40.0000;18.1664
41.0000;24.9370
42.0000;25.6580
43.0000;22.1443
44.0000;18.4973
45.0000;19.4164
46.0000;22.4951
47.0000;25.2905
48.0000;25.1389
49.0000;23.1875
50.0000;21.5832
51.0000;23.2750
52.0000;26.5997
53.0000;28.7439
54.0000;25.6708
55.0000;19.5497
56.0000;15.5200
57.0000;18.6754
58.0000;27.9543
59.0000;38.5616
60.0000;45.0448
61.0000;47.9759
62.0000;51.6361
63.0000;62.1165
64.0000;75.8815
65.0000;89.1720
66.0000;97.5193
67.0000;100.8577
68.0000;107.5859
69.0000;127.8743
70.0000;158.2877
71.0000;191.8835
72.0000;225.6519
73.0000;253.8280
74.0000;277.9853
75.0000;305.8174
76.0000;329.1917
77.0000;351.7232
78.0000;384.4334
79.0000;420.5402
80.0000;454.7233
81.0000;488.7231
82.0000;515.6159
83.0000;540.8565
84.0000;575.8333
85.0000;614.9607
86.0000;655.8743
87.0000;705.6792
88.0000;756.4883
89.0000;806.3237
90.0000;860.7935
91.0000;911.1488
92.0000;955.7264
93.0000;1005.9850
94.0000;1052.8290
95.0000;1099.1820
96.0000;1160.5930
97.0000;1229.5190
98.0000;1295.0310
99.0000;1363.9230
100.0000;1425.7380
101.0000;1473.0360
102.0000;1524.0690
103.0000;1568.9370
104.0000;1606.3170
105.0000;1651.2240
106.0000;1697.7690
107.0000;1741.8150
108.0000;1797.6140
109.0000;1854.7250
110.0000;1906.6310
111.0000;1961.7760
112.0000;2012.6360
113.0000;2051.7240
114.0000;2094.2640
115.0000;2133.2500
116.0000;2165.8410
117.0000;2204.6330
118.0000;2245.5320
119.0000;2280.7090
120.0000;2313.5360
121.0000;2338.7600
122.0000;2358.2310
123.0000;2385.0450
124.0000;2417.0040
125.0000;2448.3290
126.0000;2481.5500
127.0000;2512.6570
128.0000;2539.1280
129.0000;2566.9500
130.0000;2592.4630
131.0000;2612.1020
132.0000;2631.1180
133.0000;2646.4880
134.0000;2658.1820
135.0000;2674.5340
136.0000;2694.2390
137.0000;2711.7420
138.0000;2726.0490
139.0000;2734.5540
140.0000;2740.0840
