Raman Shift ; Dark Subtracted #1
-2.0000;20159.8600
-1.0000;18631.3500
0.0000;16373.3800
1.0000;13603.2400
2.0000;10551.6100
3.0000;7622.9890
4.0000;5258.2840
5.0000;3280.8760
6.0000;1965.8640
7.0000;1545.8490
8.0000;1259.6960
9.0000;1096.3680
10.0000;1212.5910
11.0000;1154.8060
12.0000;746.3479
13.0000;319.5107
14.0000;12.6029
15.0000;-76.2347
16.0000;-3.9715
17.0000;66.6046
18.0000;61.1656
19.0000;57.9871
20.0000;54.3513
21.0000;48.2781
22.0000;43.4616
23.0000;40.7946
24.0000;41.2378
25.0000;43.9873
26.0000;46.2223
27.0000;45.2055
28.0000;43.1769
29.0000;41.8310
30.0000;43.3652
31.0000;45.3981
32.0000;45.4398
33.0000;40.4667
34.0000;33.5827
35.0000;28.4051
36.0000;28.2041
37.0000;31.2642
38.0000;34.4391
39.0000;34.0621
40.0000;32.0730
41.0000;29.9062
42.0000;29.5846
43.0000;29.7481
44.0000;28.7956
45.0000;23.7861
46.0000;17.4488
47.0000;13.2933
48.0000;15.0174
49.0000;21.2256
50.0000;27.0542
51.0000;27.2948
52.0000;23.5619
53.0000;19.4275
54.0000;18.2381
55.0000;19.3857
56.0000;21.6713
57.0000;23.7918
58.0000;26.0672
59.0000;28.5674
60.0000;31.0956
61.0000;33.4632
62.0000;36.5240
63.0000;41.0526
64.0000;46.4710
65.0000;53.6342
66.0000;63.5328
67.0000;74.9661
68.0000;87.8051
69.0000;103.0036
70.0000;118.1772
71.0000;134.0101
72.0000;154.1520
73.0000;174.6305
74.0000;194.0865
75.0000;215.2247
76.0000;232.6763
77.0000;249.9646
78.0000;275.5863
79.0000;304.3666
80.0000;331.5729
81.0000;357.8796
82.0000;377.8188
83.0000;395.9410
84.0000;422.0780
85.0000;451.7436
86.0000;481.5539
87.0000;514.8851
88.0000;546.0364
89.0000;576.6304
90.0000;615.0560
91.0000;655.3583
92.0000;691.0112
93.0000;724.6070
94.0000;748.8931
95.0000;769.8763
96.0000;802.5877
97.0000;843.1371
98.0000;884.6323
99.0000;931.1171
100.0000;976.7601
101.0000;1014.6790
102.0000;1054.4880
103.0000;1088.6580
104.0000;1115.9570
105.0000;1146.3180
106.0000;1175.1690
107.0000;1201.1280
108.0000;1235.9710
109.0000;1273.4520
110.0000;1308.5350
111.0000;1346.1410
112.0000;1381.3410
113.0000;1409.2760
114.0000;1439.6750
115.0000;1467.6130
116.0000;1492.2870
117.0000;1522.6080
118.0000;1555.6660
119.0000;1587.2110
120.0000;1621.9570
121.0000;1655.9450
122.0000;1683.0220
123.0000;1705.2160
124.0000;1718.0250
125.0000;1725.1950
126.0000;1740.3870
127.0000;1763.1140
128.0000;1787.0080
129.0000;1811.3800
130.0000;1833.1730
131.0000;1850.1350
132.0000;1865.0170
133.0000;1875.0700
134.0000;1881.5320
135.0000;1892.2890
136.0000;1906.6950
137.0000;1920.9360
138.0000;1934.8990
139.0000;1946.9570
140.0000;1956.1540
141.0000;1966.9230
142.0000;1977.9800
143.0000;1986.9490
144.0000;1997.5130
145.0000;2007.3850
146.0000;2014.5700
147.0000;2020.3980
148.0000;2022.9110
149.0000;2023.6580
150.0000;2027.0960
151.0000;2033.1860
152.0000;2038.8910
153.0000;2043.3520
154.0000;2045.5300
155.0000;2046.8130
156.0000;2051.0970
157.0000;2057.6810
158.0000;2062.4260
159.0000;2062.0380
160.0000;2055.2730
161.0000;2046.3840
162.0000;2038.5250
163.0000;2033.6190
164.0000;2032.9220
165.0000;2037.5610
166.0000;2048.5340
167.0000;2060.4850
168.0000;2068.8650
169.0000;2071.4080
170.0000;2070.8270
171.0000;2070.6920
172.0000;2070.2530
173.0000;2070.1720
174.0000;2073.1040
175.0000;2078.5000
176.0000;2082.7550
177.0000;2082.5700
178.0000;2077.8670
179.0000;2073.0530
180.0000;2072.6650
181.0000;2077.0290
182.0000;2084.1150
183.0000;2093.8650
184.0000;2104.4930
185.0000;2111.9250
186.0000;2113.3170
187.0000;2107.7290
188.0000;2100.7290
189.0000;2099.7470
190.0000;2103.4290
191.0000;2108.1310
192.0000;2110.0830
193.0000;2109.8750
194.0000;2109.2400
195.0000;2110.2140
196.0000;2111.9070
197.0000;2113.1850
198.0000;2113.3910
199.0000;2112.4090
200.0000;2110.8400
201.0000;2109.0260
202.0000;2107.2600
203.0000;2106.4040
204.0000;2106.9820
205.0000;2109.0720
206.0000;2111.5950
207.0000;2113.3980
208.0000;2114.7800
209.0000;2116.1140
210.0000;2118.3200
211.0000;2120.2580
212.0000;2121.6710
213.0000;2122.4380
214.0000;2122.2540
215.0000;2121.9000
216.0000;2122.2390
217.0000;2122.7320
218.0000;2123.2880
219.0000;2122.5340
220.0000;2122.6350
221.0000;2125.9760
222.0000;2135.0580
223.0000;2146.6920
224.0000;2156.4250
225.0000;2161.3020
226.0000;2161.7850
227.0000;2161.4940
228.0000;2162.1820
229.0000;2163.4430
230.0000;2168.1950
231.0000;2179.2530
232.0000;2190.7650
233.0000;2196.3110
234.0000;2190.9820
235.0000;2180.6350
236.0000;2174.3970
237.0000;2176.8060
238.0000;2183.2030
239.0000;2188.7730
240.0000;2191.2990
241.0000;2192.5630
242.0000;2193.7490
243.0000;2194.8410
244.0000;2196.3890
245.0000;2200.5960
246.0000;2207.9990
247.0000;2214.6750
248.0000;2217.1880
249.0000;2213.8200
250.0000;2209.2900
251.0000;2209.4950
252.0000;2215.6440
253.0000;2222.4630
254.0000;2225.2330
255.0000;2222.9030
256.0000;2218.8650
257.0000;2216.5680
258.0000;2216.2660
259.0000;2217.5590
260.0000;2220.3650
261.0000;2224.4820
262.0000;2228.8230
263.0000;2232.4410
264.0000;2234.4100
265.0000;2234.7320
266.0000;2233.2280
267.0000;2230.2080
268.0000;2228.6800
269.0000;2231.7570
270.0000;2238.5400
271.0000;2246.1760
272.0000;2252.1130
273.0000;2256.3160
274.0000;2260.3360
275.0000;2266.2440
276.0000;2272.0170
277.0000;2278.2000
278.0000;2287.5350
279.0000;2295.6740
280.0000;2300.9760
281.0000;2301.9440
282.0000;2299.2620
283.0000;2298.1680
284.0000;2303.6430
285.0000;2310.5670
286.0000;2315.1480
287.0000;2314.9960
288.0000;2311.0900
289.0000;2305.7810
290.0000;2299.4970
291.0000;2294.6340
292.0000;2293.5190
293.0000;2297.9100
294.0000;2305.2900
295.0000;2311.5570
296.0000;2314.8850
297.0000;2316.7570
298.0000;2319.0080
299.0000;2321.4520
300.0000;2323.8530
301.0000;2327.2550
302.0000;2331.1300
303.0000;2335.7960
304.0000;2342.6250
305.0000;2350.6460
306.0000;2358.1660
307.0000;2365.6860
308.0000;2371.1890
309.0000;2373.3480
310.0000;2373.7770
311.0000;2370.7040
312.0000;2365.1750
313.0000;2357.2090
314.0000;2348.7400
315.0000;2344.8690
316.0000;2349.3330
317.0000;2360.9630
318.0000;2373.1140
319.0000;2380.3470
320.0000;2382.8550
321.0000;2383.3750
322.0000;2384.6200
323.0000;2384.4850
324.0000;2384.7400
325.0000;2386.3670
326.0000;2389.0170
327.0000;2393.1780
328.0000;2399.6940
329.0000;2406.1710
330.0000;2411.5030
331.0000;2414.5830
332.0000;2415.5520
333.0000;2416.4730
334.0000;2417.6120
335.0000;2419.1060
336.0000;2422.4900
337.0000;2427.6620
338.0000;2434.1950
339.0000;2442.5420
340.0000;2452.0480
341.0000;2460.4190
342.0000;2468.5350
343.0000;2474.4290
344.0000;2476.9520
345.0000;2477.9890
346.0000;2475.9460
347.0000;2472.4640
348.0000;2469.0680
349.0000;2466.4310
350.0000;2466.7820
351.0000;2472.6860
352.0000;2482.7470
353.0000;2491.3370
354.0000;2494.9140
355.0000;2493.5880
356.0000;2490.7760
357.0000;2489.7600
358.0000;2488.6700
