Raman Shift ; Dark Subtracted #1
-2.0000;3677.5760
-1.0000;3372.4310
0.0000;2965.9630
1.0000;2478.6700
2.0000;1934.9830
3.0000;1406.0860
4.0000;974.8376
5.0000;607.8652
6.0000;353.5633
7.0000;261.0154
8.0000;198.9333
9.0000;169.2450
10.0000;196.5643
11.0000;192.5597
12.0000;122.6604
13.0000;49.2126
14.0000;-2.5344
15.0000;-14.8665
16.0000;0.4774
17.0000;14.0779
18.0000;12.3021
19.0000;9.3325
20.0000;6.1361
21.0000;2.8365
22.0000;0.8005
23.0000;1.0575
24.0000;4.7760
25.0000;10.0661
26.0000;14.3524
27.0000;15.2208
28.0000;13.8185
29.0000;12.1897
30.0000;12.4259
31.0000;12.7192
32.0000;12.1874
33.0000;9.4093
34.0000;6.1604
35.0000;4.2811
36.0000;5.4831
37.0000;8.6429
38.0000;11.8274
39.0000;12.9878
40.0000;12.7608
41.0000;12.0400
42.0000;12.0337
43.0000;11.9149
44.0000;11.4636
45.0000;11.0747
46.0000;10.1467
47.0000;7.9789
48.0000;2.4728
49.0000;-4.0094
50.0000;-8.0922
51.0000;-6.5553
52.0000;-0.1226
53.0000;6.6820
54.0000;9.3336
55.0000;8.5100
56.0000;6.4805
57.0000;5.2577
58.0000;4.5342
59.0000;5.0071
60.0000;7.8019
61.0000;12.4567
62.0000;17.0867
63.0000;19.3822
64.0000;19.4481
65.0000;20.3340
66.0000;25.1079
67.0000;32.9202
68.0000;42.2587
69.0000;52.0060
70.0000;61.0666
71.0000;70.6954
72.0000;84.6195
73.0000;99.7374
74.0000;112.6447
75.0000;122.3603
76.0000;125.8384
77.0000;128.2125
78.0000;137.2396
79.0000;150.8733
80.0000;165.2944
81.0000;178.7555
82.0000;189.0019
83.0000;199.2039
84.0000;214.3732
85.0000;232.2443
86.0000;250.7677
87.0000;272.1335
88.0000;292.6816
89.0000;311.1155
90.0000;329.3868
91.0000;344.0520
92.0000;356.4044
93.0000;373.3753
94.0000;392.2069
95.0000;410.8692
96.0000;431.5272
97.0000;451.1868
98.0000;468.1602
99.0000;486.4103
100.0000;503.0503
101.0000;516.4202
102.0000;533.1553
103.0000;550.6101
104.0000;565.3052
105.0000;578.2708
106.0000;586.9885
107.0000;592.7105
108.0000;602.1270
109.0000;613.6630
110.0000;624.6649
111.0000;636.2170
112.0000;646.7524
113.0000;655.2775
114.0000;665.1974
115.0000;675.0914
116.0000;684.1478
117.0000;694.5673
118.0000;705.2321
119.0000;714.7226
120.0000;724.8214
121.0000;734.2593
122.0000;740.7496
123.0000;745.0682
124.0000;745.9608
125.0000;744.3230
126.0000;744.0745
127.0000;745.4213
128.0000;747.2049
129.0000;749.5756
130.0000;752.3815
131.0000;754.3745
132.0000;754.0753
133.0000;750.9403
134.0000;747.9763
135.0000;749.5665
136.0000;756.5720
137.0000;763.8842
138.0000;765.3702
139.0000;759.2606
140.0000;751.8897
141.0000;749.6531
142.0000;754.4211
143.0000;761.1093
144.0000;765.0871
145.0000;764.9337
146.0000;763.5311
147.0000;763.6207
148.0000;765.4442
149.0000;768.0064
150.0000;771.0948
151.0000;774.5006
152.0000;776.7142
153.0000;777.1376
154.0000;775.0447
155.0000;771.5992
156.0000;768.3967
157.0000;766.0368
158.0000;763.7665
159.0000;760.6785
160.0000;757.1146
161.0000;754.5707
162.0000;752.8080
163.0000;752.7155
164.0000;754.9302
165.0000;759.6552
166.0000;766.9714
167.0000;773.5179
168.0000;777.1632
169.0000;776.4157
170.0000;772.9437
171.0000;769.4924
172.0000;765.8262
173.0000;762.5330
174.0000;759.7617
175.0000;758.4431
176.0000;758.5807
177.0000;759.4337
178.0000;761.3354
179.0000;763.8923
180.0000;766.4704
181.0000;768.7410
182.0000;769.9798
183.0000;769.7480
184.0000;767.8080
185.0000;765.9106
186.0000;766.2899
187.0000;768.4440
188.0000;770.2550
189.0000;769.2947
190.0000;766.1180
191.0000;762.6317
192.0000;760.7386
193.0000;760.5767
194.0000;761.3129
195.0000;762.5718
196.0000;764.0892
197.0000;764.0914
198.0000;760.4219
199.0000;754.0411
200.0000;748.2192
201.0000;745.2567
202.0000;745.5585
203.0000;747.7864
204.0000;750.4184
205.0000;753.7933
206.0000;756.1941
207.0000;755.9310
208.0000;753.5373
209.0000;751.1890
210.0000;750.7000
211.0000;751.6703
212.0000;753.7276
213.0000;756.5415
214.0000;759.7844
215.0000;762.9000
216.0000;765.6868
217.0000;767.3040
218.0000;768.1414
219.0000;768.8434
220.0000;768.7274
221.0000;768.6646
222.0000;769.5829
223.0000;770.5547
224.0000;770.9769
225.0000;770.0787
226.0000;768.8741
227.0000;768.6125
228.0000;770.4809
229.0000;773.2665
230.0000;775.4796
231.0000;775.8265
232.0000;775.7005
233.0000;777.0710
234.0000;781.5543
235.0000;786.0776
236.0000;788.0800
237.0000;785.9224
238.0000;781.6328
239.0000;778.4547
240.0000;777.9135
241.0000;778.7148
242.0000;779.5873
243.0000;780.2773
244.0000;780.9471
245.0000;781.1564
246.0000;780.6513
247.0000;780.3078
248.0000;781.3594
249.0000;784.0610
250.0000;786.4687
251.0000;786.9388
252.0000;784.7755
253.0000;781.8777
254.0000;780.1251
255.0000;779.9908
256.0000;781.2779
257.0000;784.4124
258.0000;788.9904
259.0000;792.0904
260.0000;790.4793
261.0000;784.4749
262.0000;777.9496
263.0000;775.2347
264.0000;776.6262
265.0000;779.8322
266.0000;782.2838
267.0000;784.4974
268.0000;786.5638
269.0000;788.8596
270.0000;790.5297
271.0000;791.3605
272.0000;791.2329
273.0000;790.1718
274.0000;789.5882
275.0000;790.8271
276.0000;793.2927
