Raman Shift ; Dark Subtracted #1
-2.0000;6482.3090
-1.0000;5982.8540
0.0000;5258.3580
1.0000;4366.7320
2.0000;3382.6260
3.0000;2435.8600
4.0000;1669.9140
5.0000;1030.1150
6.0000;605.7625
7.0000;471.3816
8.0000;380.6827
9.0000;329.8504
10.0000;369.9991
11.0000;355.4501
12.0000;229.2811
13.0000;97.0768
14.0000;2.6193
15.0000;-23.2250
16.0000;0.9088
17.0000;23.8797
18.0000;22.0732
19.0000;20.5796
20.0000;19.9999
21.0000;21.0475
22.0000;22.6610
23.0000;23.2135
24.0000;21.5671
25.0000;18.8491
26.0000;15.9081
27.0000;13.0013
28.0000;11.1885
29.0000;11.1787
30.0000;13.8579
31.0000;18.1600
32.0000;21.6328
33.0000;22.1813
34.0000;20.8409
35.0000;19.4067
36.0000;20.2234
37.0000;21.2518
38.0000;21.2319
39.0000;18.0309
40.0000;13.5749
41.0000;10.3962
42.0000;10.7322
43.0000;13.9159
44.0000;17.6185
45.0000;19.8014
46.0000;20.7802
47.0000;20.8424
48.0000;20.7336
49.0000;19.7156
50.0000;18.0007
51.0000;15.5781
52.0000;12.9169
53.0000;10.8491
54.0000;9.4686
55.0000;9.5798
56.0000;11.1139
57.0000;13.1098
58.0000;16.2660
59.0000;20.9945
60.0000;27.2919
61.0000;34.7499
62.0000;43.5425
63.0000;55.6835
64.0000;67.9442
65.0000;78.7637
66.0000;86.3650
67.0000;89.8317
68.0000;95.6833
69.0000;112.2178
70.0000;136.5717
71.0000;163.7165
72.0000;191.4938
73.0000;215.4496
74.0000;237.4756
75.0000;264.8945
76.0000;290.2983
77.0000;314.9737
78.0000;346.8480
79.0000;379.2382
80.0000;408.6462
81.0000;438.0250
82.0000;461.1467
83.0000;483.7205
84.0000;518.1343
85.0000;558.9155
86.0000;599.5949
87.0000;641.9357
88.0000;678.2369
89.0000;712.1580
90.0000;755.6174
91.0000;801.7584
92.0000;844.5535
93.0000;889.1827
94.0000;927.3104
95.0000;963.2055
96.0000;1011.4890
97.0000;1066.0630
98.0000;1118.9150
99.0000;1177.1760
100.0000;1232.8270
101.0000;1276.7440
102.0000;1321.2780
103.0000;1357.3250
104.0000;1385.6290
105.0000;1421.0210
106.0000;1458.8760
107.0000;1495.4020
108.0000;1542.7070
109.0000;1592.1880
110.0000;1636.6700
111.0000;1681.2160
112.0000;1718.8590
113.0000;1745.7080
114.0000;1776.1630
115.0000;1805.3470
116.0000;1830.6130
117.0000;1861.5790
118.0000;1895.2250
119.0000;1924.5950
120.0000;1951.5010
121.0000;1971.5390
122.0000;1984.7530
123.0000;1999.5680
124.0000;2013.9810
125.0000;2028.6330
126.0000;2051.9690
127.0000;2082.9240
128.0000;2112.1150
129.0000;2134.0490
130.0000;2144.0150
131.0000;2146.5640
132.0000;2153.6570
133.0000;2164.9690
134.0000;2177.0070
135.0000;2191.4800
136.0000;2207.0730
137.0000;2220.7330
138.0000;2231.8340
139.0000;2238.3160
140.0000;2241.8900
141.0000;2249.8680
142.0000;2262.2580
143.0000;2272.4950
144.0000;2277.8950
145.0000;2275.8770
146.0000;2272.9640
147.0000;2279.1540
148.0000;2295.1120
149.0000;2311.6870
150.0000;2319.6050
151.0000;2316.0210
152.0000;2309.1200
153.0000;2309.3150
154.0000;2317.9580
155.0000;2327.5140
156.0000;2333.2550
157.0000;2333.1470
158.0000;2329.9640
159.0000;2327.4880
160.0000;2325.6070
161.0000;2323.8230
162.0000;2321.6000
163.0000;2319.5750
164.0000;2319.2440
165.0000;2321.3150
166.0000;2326.3630
167.0000;2333.2730
168.0000;2341.8300
169.0000;2350.4640
170.0000;2358.1400
171.0000;2363.7530
172.0000;2366.1090
173.0000;2367.6390
174.0000;2373.8710
175.0000;2383.2090
176.0000;2390.6980
177.0000;2393.2950
178.0000;2389.9570
179.0000;2385.7530
180.0000;2387.0320
181.0000;2393.2990
182.0000;2401.0200
183.0000;2408.3460
184.0000;2414.0940
185.0000;2418.4520
186.0000;2422.9990
187.0000;2425.9600
188.0000;2428.1780
189.0000;2432.5380
190.0000;2436.7510
191.0000;2438.7530
192.0000;2437.0040
193.0000;2431.5020
194.0000;2424.9540
195.0000;2419.9110
196.0000;2417.0390
197.0000;2416.9900
