Raman Shift ; Dark Subtracted #1
-2.0000;359.6477
-1.0000;332.4438
0.0000;293.6577
1.0000;245.9575
2.0000;192.8167
3.0000;141.1314
4.0000;99.0404
5.0000;64.0089
6.0000;41.0043
7.0000;33.6218
8.0000;27.8512
9.0000;23.1976
10.0000;23.8770
11.0000;23.0643
12.0000;18.3997
13.0000;14.6965
14.0000;13.3156
15.0000;15.6385
16.0000;19.2905
17.0000;20.4903
18.0000;16.7366
19.0000;11.5232
20.0000;8.4820
21.0000;10.6493
22.0000;14.3745
23.0000;15.3714
24.0000;10.0119
25.0000;2.8658
26.0000;-2.3532
27.0000;-2.0124
28.0000;1.7243
29.0000;5.2682
30.0000;4.6871
31.0000;3.5526
32.0000;4.6773
33.0000;11.7592
34.0000;20.6542
35.0000;27.1260
36.0000;27.4203
37.0000;23.4196
38.0000;19.2787
39.0000;20.9210
40.0000;24.2320
41.0000;25.6517
42.0000;20.9051
43.0000;12.8780
44.0000;5.8448
45.0000;2.8995
46.0000;4.2450
47.0000;7.8986
48.0000;12.3549
49.0000;17.4121
50.0000;20.7845
51.0000;19.2074
52.0000;14.2247
53.0000;10.8522
54.0000;14.0369
55.0000;22.5304
56.0000;32.7429
57.0000;41.4227
58.0000;48.1193
59.0000;54.2408
60.0000;61.0906
61.0000;67.5227
62.0000;76.2208
63.0000;89.5113
64.0000;106.0257
65.0000;128.7515
66.0000;160.5829
67.0000;198.1140
68.0000;241.1683
69.0000;292.7501
70.0000;345.1162
71.0000;400.2206
72.0000;470.9690
73.0000;543.0480
74.0000;609.0699
75.0000;676.4468
76.0000;726.5845
77.0000;772.1613
78.0000;841.1809
79.0000;918.6870
80.0000;993.9818
81.0000;1071.9180
82.0000;1137.6910
83.0000;1202.6780
84.0000;1292.9060
85.0000;1393.9280
86.0000;1492.8570
87.0000;1598.9880
88.0000;1692.7050
89.0000;1779.1430
90.0000;1884.2290
91.0000;1990.7440
92.0000;2088.4680
93.0000;2195.9210
