Raman Shift ; Dark Subtracted #1
98.0000;1811.8840
99.0000;1812.3800
100.0000;1803.3430
101.0000;1796.9820
102.0000;1809.1560
103.0000;1828.9450
104.0000;1840.4420
105.0000;1839.2850
106.0000;1838.4310
107.0000;1848.1990
108.0000;1859.3030
109.0000;1867.4100
110.0000;1870.2190
111.0000;1870.5830
112.0000;1868.4900
113.0000;1870.9460
114.0000;1890.9700
115.0000;1915.8560
116.0000;1926.1410
117.0000;1914.6550
118.0000;1904.2560
119.0000;1917.6430
120.0000;1937.7490
121.0000;1945.2600
122.0000;1939.8320
123.0000;1937.2650
124.0000;1946.0640
125.0000;1957.5400
126.0000;1969.9870
127.0000;1976.6270
128.0000;1968.8750
129.0000;1944.4830
130.0000;1929.0270
131.0000;1949.7420
132.0000;1985.3990
133.0000;2004.6100
134.0000;2002.5640
135.0000;2001.5360
136.0000;2014.3880
137.0000;2029.0630
138.0000;2041.0590
139.0000;2048.6350
140.0000;2059.8330
141.0000;2074.9080
142.0000;2082.3330
143.0000;2080.9570
144.0000;2065.5750
145.0000;2039.6290
146.0000;2006.5170
147.0000;1980.0280
148.0000;1969.2730
149.0000;1971.9800
150.0000;1974.4900
151.0000;1980.2410
152.0000;1983.9930
153.0000;1983.4720
154.0000;1979.5780
155.0000;1974.4690
156.0000;1966.3590
157.0000;1953.2760
158.0000;1937.9850
159.0000;1928.1650
160.0000;1928.6010
161.0000;1934.4820
162.0000;1936.4490
163.0000;1936.0210
164.0000;1933.6660
165.0000;1929.4770
166.0000;1925.7600
167.0000;1924.1210
168.0000;1924.7910
169.0000;1926.0130
170.0000;1928.3470
171.0000;1932.0730
172.0000;1936.5510
173.0000;1943.4820
174.0000;1955.7980
175.0000;1969.0310
176.0000;1980.1380
177.0000;1986.3390
178.0000;1987.5020
179.0000;1984.8580
180.0000;1980.2580
181.0000;1981.9160
182.0000;1987.8600
183.0000;1990.9220
184.0000;1988.0300
185.0000;1983.7450
186.0000;1981.9270
187.0000;1982.2980
188.0000;1984.3470
189.0000;1988.0810
190.0000;1992.1820
191.0000;1995.3690
192.0000;1998.1570
193.0000;2000.5080
194.0000;2003.9410
195.0000;2015.5870
196.0000;2035.8280
197.0000;2047.0450
198.0000;2037.8530
199.0000;2018.1680
200.0000;2005.3580
201.0000;2002.1940
202.0000;2006.8920
203.0000;2019.8330
204.0000;2032.6050
205.0000;2037.3950
206.0000;2031.8700
207.0000;2016.4130
208.0000;1994.6970
209.0000;1984.5900
210.0000;1998.2150
211.0000;2022.6600
212.0000;2037.2580
213.0000;2044.3750
214.0000;2052.4620
215.0000;2060.8690
216.0000;2066.7900
217.0000;2070.2030
218.0000;2071.4170
219.0000;2076.4570
220.0000;2083.0850
221.0000;2088.0030
222.0000;2089.6900
223.0000;2090.4040
224.0000;2093.6770
225.0000;2097.1490
226.0000;2102.1130
227.0000;2106.0810
228.0000;2102.3850
229.0000;2087.0780
230.0000;2074.9220
231.0000;2083.3400
232.0000;2102.4090
233.0000;2110.9970
234.0000;2104.9460
235.0000;2098.4950
236.0000;2100.8250
237.0000;2103.6070
238.0000;2098.9830
239.0000;2091.8230
240.0000;2092.7640
241.0000;2103.2830
242.0000;2106.1490
243.0000;2084.1830
244.0000;2062.6720
245.0000;2070.4670
246.0000;2100.3700
247.0000;2120.8410
248.0000;2118.9170
249.0000;2113.6240
250.0000;2121.2970
251.0000;2131.5900
252.0000;2137.9650
253.0000;2140.0230
254.0000;2143.7140
255.0000;2151.0210
256.0000;2156.0000
257.0000;2156.0910
258.0000;2152.6610
259.0000;2151.9170
260.0000;2153.5800
261.0000;2153.9040
262.0000;2151.1980
263.0000;2149.9530
264.0000;2154.3680
265.0000;2161.4420
266.0000;2165.0520
267.0000;2165.2860
268.0000;2169.8670
269.0000;2183.4380
270.0000;2195.4700
271.0000;2197.2750
272.0000;2192.2820
273.0000;2192.8640
274.0000;2199.7020
275.0000;2208.5870
276.0000;2217.4560
277.0000;2223.3480
278.0000;2226.1360
279.0000;2223.5380
280.0000;2217.6430
